Date,Price,Open,High,Low,Vol.,Change %
"Jan 01, 2019",422.85,423.4,424.32,419.01,268K,0.68%
"Jan 02, 2019",422.49,423.25,425.61,421.73,209K,-0.09%
"Jan 03, 2019",426.12,426.67,427.59,425.01,194K,0.86%
"Jan 04, 2019",434.33,433.46,438.3,432.96,483K,1.91%
"Jan 07, 2019",433.46,433.69,435.35,429.31,338K,-0.2%
"Jan 08, 2019",432.59,431.81,435.16,431.55,60K,-0.2%
"Jan 09, 2019",441.22,440.79,441.86,438.54,243K,1.98%
"Jan 10, 2019",445.65,444.87,447.81,442.57,443K,1.0%
"Jan 11, 2019",443.51,443.69,447.27,441.25,185K,-0.48%
"Jan 14, 2019",446.76,447.09,450.45,442.66,92K,0.73%
"Jan 15, 2019",444.64,443.95,445.98,443.22,391K,-0.48%
"Jan 16, 2019",442.51,442.31,443.86,440.41,322K,-0.48%
"Jan 17, 2019",444.16,444.08,447.87,440.46,306K,0.37%
"Jan 18, 2019",434.42,434.19,438.49,430.81,74K,-2.22%
"Jan 21, 2019",425.86,425.22,426.65,422.31,113K,-1.99%
"Jan 22, 2019",423.34,423.2,425.48,419.32,330K,-0.59%
"Jan 23, 2019",418.56,418.98,420.25,416.59,143K,-1.14%
"Jan 24, 2019",420.48,419.75,424.19,419.45,276K,0.46%
"Jan 25, 2019",416.25,415.55,416.98,412.15,295K,-1.01%
"Jan 28, 2019",409.58,409.35,410.77,405.67,177K,-1.61%
"Jan 29, 2019",417.19,417.92,420.43,415.16,476K,1.84%
"Jan 30, 2019",416.39,416.67,417.0,415.3,429K,-0.19%
"Jan 31, 2019",417.06,417.36,419.33,414.12,375K,0.16%
"Feb 01, 2019",410.32,410.09,412.36,407.51,85K,-1.63%
"Feb 04, 2019",407.97,408.13,409.61,406.08,97K,-0.57%
"Feb 05, 2019",408.84,408.04,410.7,405.76,271K,0.21%
"Feb 06, 2019",403.56,403.78,405.89,399.62,122K,-1.3%
"Feb 07, 2019",405.71,406.38,406.7,404.33,490K,0.53%
"Feb 08, 2019",403.12,403.3,405.59,401.35,121K,-0.64%
"Feb 11, 2019",402.03,402.63,405.34,400.11,269K,-0.27%
"Feb 12, 2019",399.46,399.81,402.59,398.13,213K,-0.64%
"Feb 13, 2019",408.76,408.14,409.74,407.16,337K,2.3%
"Feb 14, 2019",409.02,409.68,409.98,405.69,108K,0.06%
"Feb 15, 2019",404.19,403.48,405.57,401.43,243K,-1.19%
"Feb 18, 2019",408.52,408.58,410.26,404.9,173K,1.07%
"Feb 19, 2019",402.9,402.33,404.79,399.34,449K,-1.39%
"Feb 20, 2019",404.24,403.45,407.11,402.65,68K,0.33%
"Feb 21, 2019",395.16,395.03,395.75,394.26,461K,-2.27%
"Feb 22, 2019",389.22,388.9,389.73,388.7,424K,-1.51%
"Feb 25, 2019",390.45,390.43,392.22,388.76,183K,0.32%
"Feb 26, 2019",394.24,394.37,397.11,390.96,405K,0.97%
"Feb 27, 2019",395.37,394.65,396.46,391.79,64K,0.29%
"Feb 28, 2019",395.14,394.54,397.82,394.08,485K,-0.06%
"Mar 01, 2019",394.03,394.12,395.35,392.14,286K,-0.28%
"Mar 04, 2019",387.41,387.17,390.89,385.69,186K,-1.69%
"Mar 05, 2019",384.39,384.74,387.87,383.24,213K,-0.78%
"Mar 06, 2019",382.57,382.81,383.98,381.17,79K,-0.47%
"Mar 07, 2019",387.77,388.3,388.96,386.8,495K,1.35%
"Mar 08, 2019",389.68,389.98,391.51,385.98,67K,0.49%
"Mar 11, 2019",381.83,381.72,383.04,380.58,344K,-2.04%
"Mar 12, 2019",383.62,383.89,386.33,382.72,249K,0.47%
"Mar 13, 2019",382.16,381.82,385.38,379.32,477K,-0.38%
"Mar 14, 2019",379.37,379.08,382.05,377.76,160K,-0.73%
"Mar 15, 2019",382.47,382.91,385.69,379.73,289K,0.81%
"Mar 18, 2019",387.54,387.46,389.32,387.01,267K,1.32%
"Mar 19, 2019",392.21,392.68,393.16,388.41,366K,1.2%
"Mar 20, 2019",388.59,389.09,391.56,386.73,80K,-0.93%
"Mar 21, 2019",387.46,388.02,389.11,384.17,137K,-0.29%
"Mar 22, 2019",389.32,389.97,392.06,387.92,146K,0.48%
"Mar 25, 2019",394.22,394.11,395.57,390.9,382K,1.25%
"Mar 26, 2019",392.27,391.99,392.95,389.18,135K,-0.5%
"Mar 27, 2019",391.71,391.84,395.6,389.54,308K,-0.14%
"Mar 28, 2019",386.85,386.66,387.79,386.17,146K,-1.25%
"Mar 29, 2019",381.65,381.8,385.42,378.56,437K,-1.36%
"Apr 01, 2019",385.69,386.01,389.47,382.34,473K,1.06%
"Apr 02, 2019",392.34,392.63,395.53,391.09,283K,1.71%
"Apr 03, 2019",392.31,392.11,395.03,390.16,208K,-0.01%
"Apr 04, 2019",397.38,396.85,399.85,396.67,155K,1.28%
"Apr 05, 2019",399.43,399.32,402.94,395.96,72K,0.51%
"Apr 08, 2019",396.67,396.1,398.1,395.01,170K,-0.69%
"Apr 09, 2019",398.71,399.33,400.79,395.56,344K,0.51%
"Apr 10, 2019",406.46,406.21,409.13,402.97,290K,1.93%
"Apr 11, 2019",406.61,406.05,408.52,405.05,474K,0.04%
"Apr 12, 2019",414.65,413.86,416.66,412.72,228K,1.96%
"Apr 15, 2019",402.14,402.37,403.74,400.85,362K,-3.06%
"Apr 16, 2019",406.45,406.67,408.92,403.52,270K,1.07%
"Apr 17, 2019",407.2,406.94,410.72,404.77,280K,0.18%
"Apr 18, 2019",406.07,405.37,407.21,403.49,170K,-0.28%
"Apr 19, 2019",406.84,406.69,410.67,406.37,254K,0.19%
"Apr 22, 2019",397.57,397.27,400.43,394.64,261K,-2.31%
"Apr 23, 2019",396.84,397.12,400.18,393.92,367K,-0.18%
"Apr 24, 2019",398.86,399.03,401.26,396.15,473K,0.51%
