Date,Price,Open,High,Low,Vol.,Change %
"Jan 01, 2019",87.51,87.37,88.35,86.76,244K,-0.56%
"Jan 02, 2019",86.78,86.78,86.96,86.55,416K,-0.84%
"Jan 03, 2019",88.01,88.07,88.75,87.76,71K,1.41%
"Jan 04, 2019",87.67,87.58,88.03,87.02,358K,-0.38%
"Jan 07, 2019",87.53,87.62,87.97,87.02,324K,-0.17%
"Jan 08, 2019",87.3,87.42,87.9,86.96,66K,-0.26%
"Jan 09, 2019",89.11,89.08,89.81,88.56,201K,2.06%
"Jan 10, 2019",90.14,90.21,90.96,89.3,283K,1.14%
"Jan 11, 2019",90.93,90.94,91.81,90.25,64K,0.88%
"Jan 14, 2019",91.2,91.26,91.92,90.71,188K,0.29%
"Jan 15, 2019",91.45,91.44,91.74,91.21,56K,0.28%
"Jan 16, 2019",90.51,90.34,91.01,89.66,172K,-1.04%
"Jan 17, 2019",91.5,91.44,91.88,90.73,489K,1.1%
"Jan 18, 2019",91.14,91.06,91.94,90.99,254K,-0.4%
"Jan 21, 2019",89.79,89.94,90.28,89.15,477K,-1.49%
"Jan 22, 2019",89.68,89.66,90.46,89.09,411K,-0.13%
"Jan 23, 2019",89.74,89.88,90.61,89.38,167K,0.07%
"Jan 24, 2019",91.24,91.06,91.57,90.63,471K,1.67%
"Jan 25, 2019",92.23,92.28,92.35,91.5,185K,1.08%
"Jan 28, 2019",91.19,91.18,91.46,91.08,205K,-1.14%
"Jan 29, 2019",92.38,92.21,93.01,91.89,186K,1.3%
"Jan 30, 2019",89.59,89.58,90.34,89.0,249K,-3.07%
"Jan 31, 2019",90.09,90.05,90.78,89.8,83K,0.55%
"Feb 01, 2019",89.39,89.29,90.13,88.58,417K,-0.78%
"Feb 04, 2019",87.94,87.79,88.76,87.78,86K,-1.63%
"Feb 05, 2019",86.75,86.85,87.01,86.51,265K,-1.37%
"Feb 06, 2019",88.33,88.37,88.46,87.75,81K,1.81%
"Feb 07, 2019",88.86,88.89,89.21,88.12,344K,0.59%
"Feb 08, 2019",89.3,89.45,90.08,89.1,252K,0.5%
"Feb 11, 2019",90.39,90.22,91.08,90.27,50K,1.21%
"Feb 12, 2019",90.19,90.2,90.3,89.32,244K,-0.23%
"Feb 13, 2019",91.74,91.9,91.95,91.63,213K,1.7%
"Feb 14, 2019",91.54,91.52,92.39,90.94,461K,-0.22%
"Feb 15, 2019",88.19,88.18,88.67,87.94,319K,-3.73%
"Feb 18, 2019",89.95,89.79,90.56,89.42,422K,1.98%
"Feb 19, 2019",86.86,86.94,87.02,86.4,115K,-3.49%
"Feb 20, 2019",86.63,86.72,87.17,86.18,106K,-0.27%
"Feb 21, 2019",87.46,87.33,88.21,87.34,132K,0.95%
"Feb 22, 2019",85.07,85.12,85.85,84.7,474K,-2.77%
"Feb 25, 2019",84.96,84.92,85.39,84.34,94K,-0.12%
"Feb 26, 2019",84.84,84.86,85.37,84.47,267K,-0.15%
"Feb 27, 2019",85.82,85.88,86.47,85.03,84K,1.15%
"Feb 28, 2019",86.37,86.23,86.76,85.76,391K,0.63%
"Mar 01, 2019",85.03,84.96,85.34,84.31,223K,-1.56%
"Mar 04, 2019",84.41,84.53,84.56,84.03,325K,-0.73%
"Mar 05, 2019",83.38,83.26,83.61,82.94,82K,-1.24%
"Mar 06, 2019",81.58,81.63,82.38,81.29,244K,-2.18%
"Mar 07, 2019",80.98,81.09,81.7,80.42,110K,-0.73%
"Mar 08, 2019",82.48,82.52,82.82,82.39,196K,1.83%
"Mar 11, 2019",82.96,83.06,83.67,82.37,134K,0.58%
"Mar 12, 2019",83.43,83.43,84.09,82.64,266K,0.56%
"Mar 13, 2019",82.27,82.39,83.07,81.65,452K,-1.4%
"Mar 14, 2019",80.41,80.46,80.51,80.05,228K,-2.29%
"Mar 15, 2019",81.0,80.94,81.5,80.74,456K,0.73%
"Mar 18, 2019",82.02,82.03,82.62,81.38,398K,1.26%
"Mar 19, 2019",82.23,82.27,82.92,81.98,386K,0.25%
"Mar 20, 2019",83.02,83.12,83.7,82.44,401K,0.96%
"Mar 21, 2019",82.73,82.62,83.02,82.02,369K,-0.35%
"Mar 22, 2019",82.83,82.99,83.43,82.1,141K,0.12%
"Mar 25, 2019",82.15,82.04,82.83,81.94,427K,-0.82%
"Mar 26, 2019",82.58,82.59,83.04,81.93,219K,0.51%
"Mar 27, 2019",82.43,82.27,82.89,81.77,171K,-0.17%
"Mar 28, 2019",83.08,83.06,83.49,82.91,424K,0.78%
"Mar 29, 2019",83.9,83.73,84.14,83.34,327K,0.99%
"Apr 01, 2019",83.59,83.44,84.3,83.5,163K,-0.37%
"Apr 02, 2019",84.15,84.16,84.61,83.51,449K,0.67%
"Apr 03, 2019",83.49,83.47,83.67,83.15,292K,-0.79%
"Apr 04, 2019",85.35,85.2,86.14,84.65,60K,2.21%
"Apr 05, 2019",86.85,87.0,87.6,86.13,287K,1.74%
"Apr 08, 2019",87.2,87.15,87.62,86.97,479K,0.4%
"Apr 09, 2019",86.46,86.54,87.15,86.31,122K,-0.86%
"Apr 10, 2019",86.75,86.91,86.97,86.58,185K,0.34%
"Apr 11, 2019",85.54,85.68,86.38,85.33,152K,-1.41%
"Apr 12, 2019",86.01,86.07,86.16,85.6,149K,0.54%
"Apr 15, 2019",83.88,83.72,84.63,83.12,84K,-2.51%
"Apr 16, 2019",82.84,82.89,83.67,82.26,259K,-1.24%
"Apr 17, 2019",83.25,83.11,83.55,82.63,418K,0.49%
"Apr 18, 2019",84.69,84.67,85.4,84.04,158K,1.72%
"Apr 19, 2019",85.11,85.25,85.9,85.0,370K,0.49%
"Apr 22, 2019",84.83,84.7,85.64,84.09,307K,-0.33%
"Apr 23, 2019",83.89,83.96,84.52,83.41,145K,-1.11%
"Apr 24, 2019",83.42,83.35,83.97,83.28,306K,-0.56%
"Apr 25, 2019",81.71,81.6,81.87,80.94,285K,-2.07%
"Apr 26, 2019",81.36,81.28,81.79,81.1,151K,-0.43%
"Apr 29, 2019",83.59,83.55,83.97,83.21,57K,2.69%
"Apr 30, 2019",83.75,83.86,83.85,83.19,233K,0.2%
"May 01, 2019",84.22,84.22,84.52,84.09,195K,0.55%
"May 02, 2019",82.4,82.35,83.03,81.82,177K,-2.18%
"May 03, 2019",83.84,83.73,84.16,83.15,364K,1.74%
"May 06, 2019",85.43,85.35,85.54,85.13,369K,1.88%
"May 07, 2019",85.69,85.85,86.37,85.09,467K,0.31%
"May 08, 2019",86.37,86.27,87.09,85.73,62K,0.79%
"May 09, 2019",85.72,85.66,85.83,85.58,459K,-0.75%
"May 10, 2019",85.48,85.48,86.21,84.86,353K,-0.28%
"May 13, 2019",88.33,88.32,89.06,87.91,346K,3.28%
"May 14, 2019",87.88,87.82,88.46,87.52,496K,-0.51%
"May 15, 2019",89.88,89.71,90.01,89.37,84K,2.25%
"May 16, 2019",92.17,92.29,93.04,91.51,411K,2.51%
"May 17, 2019",92.71,92.55,92.88,92.23,317K,0.58%
"May 20, 2019",92.62,92.73,93.31,92.03,122K,-0.09%
"May 21, 2019",91.2,91.13,91.92,90.32,396K,-1.54%
"May 22, 2019",91.84,91.99,92.72,91.18,211K,0.7%
"May 23, 2019",91.9,91.9,92.78,91.47,163K,0.07%
"May 24, 2019",91.83,91.65,92.15,90.92,309K,-0.08%
"May 27, 2019",91.35,91.36,91.64,90.97,264K,-0.52%
"May 28, 2019",91.73,91.88,92.16,90.84,120K,0.41%
"May 29, 2019",92.29,92.12,93.16,91.84,378K,0.61%
"May 30, 2019",92.3,92.29,93.0,91.43,190K,0.01%
"May 31, 2019",93.66,93.74,94.52,93.44,271K,1.46%
"Jun 03, 2019",93.69,93.52,93.96,93.52,179K,0.03%
"Jun 04, 2019",93.56,93.47,93.72,93.15,248K,-0.13%
"Jun 05, 2019",92.36,92.19,92.47,91.54,162K,-1.3%
"Jun 06, 2019",92.17,92.19,92.32,92.0,266K,-0.2%
"Jun 07, 2019",92.15,92.26,92.94,91.83,122K,-0.03%
"Jun 10, 2019",89.51,89.46,90.3,89.33,177K,-2.9%
"Jun 11, 2019",90.11,89.97,90.94,89.59,145K,0.67%
"Jun 12, 2019",91.15,91.16,91.58,90.59,212K,1.15%
"Jun 13, 2019",93.64,93.77,94.12,93.2,423K,2.69%
"Jun 14, 2019",92.64,92.68,92.89,92.1,272K,-1.07%
"Jun 17, 2019",92.57,92.46,93.03,91.79,240K,-0.08%
"Jun 18, 2019",93.12,93.02,93.35,92.88,307K,0.59%
"Jun 19, 2019",93.11,93.05,93.72,92.33,403K,-0.02%
"Jun 20, 2019",92.32,92.17,92.43,92.02,183K,-0.85%
"Jun 21, 2019",90.75,90.77,91.19,90.57,413K,-1.71%
"Jun 24, 2019",90.88,91.05,91.77,90.4,162K,0.14%
"Jun 25, 2019",92.27,92.39,93.19,91.56,431K,1.53%
"Jun 26, 2019",92.32,92.34,93.06,91.42,425K,0.06%
"Jun 27, 2019",92.3,92.46,92.64,91.92,315K,-0.02%
"Jun 28, 2019",92.78,92.81,93.04,92.31,210K,0.51%
"Jul 01, 2019",93.67,93.78,93.79,93.31,236K,0.95%
"Jul 02, 2019",94.08,93.97,94.53,93.95,415K,0.44%
"Jul 03, 2019",92.74,92.63,93.22,92.19,87K,-1.43%
"Jul 04, 2019",93.3,93.44,93.46,92.93,404K,0.6%
"Jul 05, 2019",92.65,92.55,93.47,91.84,109K,-0.7%
"Jul 08, 2019",91.9,91.92,92.53,91.1,416K,-0.81%
"Jul 09, 2019",90.76,90.66,91.16,90.26,455K,-1.25%
"Jul 10, 2019",90.71,90.75,91.5,90.28,281K,-0.05%
"Jul 11, 2019",90.17,90.16,90.6,90.07,388K,-0.6%
"Jul 12, 2019",89.9,90.02,90.68,89.46,141K,-0.3%
"Jul 15, 2019",88.88,88.97,89.36,88.72,397K,-1.15%
"Jul 16, 2019",89.88,89.79,90.49,89.62,366K,1.12%
"Jul 17, 2019",89.5,89.51,89.68,89.33,101K,-0.42%
"Jul 18, 2019",88.77,88.94,89.07,88.57,276K,-0.82%
"Jul 19, 2019",87.03,87.04,87.63,86.59,394K,-1.98%
"Jul 22, 2019",88.85,88.83,89.27,87.96,91K,2.07%
"Jul 23, 2019",87.26,87.1,87.45,86.74,346K,-1.82%
"Jul 24, 2019",87.6,87.63,87.81,86.9,410K,0.39%
"Jul 25, 2019",88.34,88.5,88.99,88.03,206K,0.84%
"Jul 26, 2019",87.98,88.12,88.61,87.25,221K,-0.42%
