Date,Price,Open,High,Low,Vol.,Change %
"Jan 01, 2019",288.87,289.04,291.15,287.0,156K,1.35%
"Jan 02, 2019",289.21,288.67,289.56,287.68,219K,0.12%
"Jan 03, 2019",295.37,295.64,296.66,294.85,278K,2.11%
"Jan 04, 2019",290.78,291.25,291.36,290.42,287K,-1.57%
"Jan 07, 2019",289.34,289.68,290.55,287.13,449K,-0.5%
"Jan 08, 2019",289.61,289.71,290.35,287.27,221K,0.09%
"Jan 09, 2019",293.1,293.3,294.38,290.38,458K,1.2%
"Jan 10, 2019",294.45,295.03,295.85,292.99,248K,0.46%
"Jan 11, 2019",295.54,295.06,296.64,292.62,385K,0.37%
"Jan 14, 2019",292.4,292.6,294.42,290.56,468K,-1.07%
"Jan 15, 2019",289.21,288.96,291.9,286.51,458K,-1.1%
"Jan 16, 2019",290.32,290.49,291.66,288.48,75K,0.38%
"Jan 17, 2019",286.56,286.68,287.34,283.8,142K,-1.3%
"Jan 18, 2019",285.21,284.82,286.19,284.5,264K,-0.47%
"Jan 21, 2019",286.82,286.48,289.31,284.49,244K,0.56%
"Jan 22, 2019",284.18,284.32,285.93,282.18,338K,-0.92%
"Jan 23, 2019",288.96,288.53,290.43,288.33,475K,1.67%
"Jan 24, 2019",292.69,292.41,293.38,291.73,100K,1.28%
"Jan 25, 2019",288.3,288.69,289.75,285.98,253K,-1.51%
"Jan 28, 2019",285.79,285.6,286.8,283.12,136K,-0.87%
"Jan 29, 2019",279.5,279.49,282.16,278.51,452K,-2.23%
"Jan 30, 2019",277.49,277.98,279.98,275.69,484K,-0.72%
"Jan 31, 2019",279.79,279.49,280.29,278.93,265K,0.83%
"Feb 01, 2019",278.81,278.68,280.38,277.13,96K,-0.35%
"Feb 04, 2019",280.26,280.38,281.11,278.33,403K,0.52%
"Feb 05, 2019",276.19,276.48,277.49,274.55,363K,-1.46%
"Feb 06, 2019",278.57,279.02,281.05,277.66,209K,0.86%
"Feb 07, 2019",277.2,277.66,278.79,276.68,449K,-0.5%
"Feb 08, 2019",277.4,277.7,278.51,274.75,489K,0.07%
"Feb 11, 2019",277.31,277.0,278.1,275.84,301K,-0.03%
"Feb 12, 2019",273.97,273.45,276.21,271.31,304K,-1.21%
"Feb 13, 2019",270.99,270.86,272.78,269.42,183K,-1.09%
"Feb 14, 2019",273.79,273.4,275.21,273.23,313K,1.03%
"Feb 15, 2019",275.05,275.28,275.86,273.19,247K,0.46%
"Feb 18, 2019",278.12,278.3,279.23,277.67,185K,1.11%
"Feb 19, 2019",279.19,278.68,281.88,277.98,80K,0.38%
"Feb 20, 2019",279.76,280.13,281.35,279.31,163K,0.2%
"Feb 21, 2019",275.13,274.86,276.4,274.26,139K,-1.67%
"Feb 22, 2019",274.56,274.48,276.12,272.07,293K,-0.21%
"Feb 25, 2019",274.65,274.83,276.85,272.47,320K,0.03%
"Feb 26, 2019",280.23,280.15,281.37,278.42,323K,2.01%
"Feb 27, 2019",282.33,282.27,283.07,279.94,224K,0.75%
"Feb 28, 2019",286.87,286.38,288.67,285.28,239K,1.6%
"Mar 01, 2019",288.77,288.65,290.78,287.1,425K,0.66%
"Mar 04, 2019",286.89,287.2,289.02,286.49,264K,-0.65%
"Mar 05, 2019",287.4,287.88,289.97,285.65,494K,0.18%
"Mar 06, 2019",288.25,288.15,289.5,287.41,247K,0.3%
"Mar 07, 2019",285.73,285.64,286.21,285.3,342K,-0.88%
"Mar 08, 2019",284.8,285.04,287.55,284.2,72K,-0.32%
"Mar 11, 2019",284.39,284.89,285.79,282.08,344K,-0.15%
"Mar 12, 2019",289.17,288.9,291.08,287.57,433K,1.67%
"Mar 13, 2019",283.38,283.31,285.36,281.43,474K,-2.02%
"Mar 14, 2019",286.99,287.33,288.69,285.15,498K,1.27%
"Mar 15, 2019",284.49,284.61,285.3,282.57,176K,-0.88%
"Mar 18, 2019",280.78,280.34,282.97,280.06,308K,-1.31%
"Mar 19, 2019",284.28,284.43,286.62,282.6,252K,1.24%
"Mar 20, 2019",286.54,286.18,288.25,285.03,303K,0.79%
"Mar 21, 2019",290.33,290.34,291.9,290.0,120K,1.31%
"Mar 22, 2019",292.84,292.88,293.44,290.07,435K,0.86%
"Mar 25, 2019",299.12,299.57,299.64,297.44,459K,2.12%
"Mar 26, 2019",300.97,300.93,302.19,300.06,252K,0.62%
"Mar 27, 2019",300.68,300.42,301.82,298.09,176K,-0.1%
"Mar 28, 2019",301.9,301.57,304.79,300.54,113K,0.4%
"Mar 29, 2019",305.86,306.32,308.32,303.46,357K,1.3%
"Apr 01, 2019",303.67,303.27,305.77,303.0,190K,-0.72%
"Apr 02, 2019",301.87,301.78,303.58,299.74,459K,-0.59%
"Apr 03, 2019",301.12,300.75,301.88,299.0,351K,-0.25%
"Apr 04, 2019",295.03,295.35,297.92,293.67,340K,-2.04%
"Apr 05, 2019",295.61,295.58,296.91,293.15,301K,0.2%
"Apr 08, 2019",290.26,290.09,290.83,288.11,70K,-1.83%
"Apr 09, 2019",290.59,290.43,292.17,288.78,469K,0.11%
"Apr 10, 2019",293.29,293.71,295.89,291.29,332K,0.93%
"Apr 11, 2019",292.07,292.14,294.7,290.53,497K,-0.42%
"Apr 12, 2019",297.19,297.45,297.52,295.82,291K,1.74%
"Apr 15, 2019",293.06,293.52,295.69,291.62,369K,-1.4%
"Apr 16, 2019",296.75,297.23,297.77,295.53,75K,1.25%
"Apr 17, 2019",298.94,298.73,299.34,296.78,334K,0.74%
"Apr 18, 2019",294.03,294.56,296.57,291.42,394K,-1.66%
"Apr 19, 2019",302.29,301.71,304.94,301.34,400K,2.77%
"Apr 22, 2019",302.28,302.13,304.2,301.57,396K,-0.0%
"Apr 23, 2019",299.82,300.29,301.67,297.51,151K,-0.82%
"Apr 24, 2019",295.81,295.54,298.27,293.93,488K,-1.35%
"Apr 25, 2019",295.33,295.06,297.72,293.7,497K,-0.16%
"Apr 26, 2019",295.13,294.9,297.79,293.6,84K,-0.07%
"Apr 29, 2019",295.61,295.75,297.38,294.41,471K,0.16%
"Apr 30, 2019",294.91,294.84,297.77,292.07,180K,-0.24%
"May 01, 2019",296.96,297.23,299.92,295.92,360K,0.69%
"May 02, 2019",295.99,296.46,296.6,293.2,202K,-0.33%
"May 03, 2019",290.49,290.7,293.01,288.81,485K,-1.87%
"May 06, 2019",290.23,289.89,291.83,289.49,95K,-0.09%
"May 07, 2019",283.61,284.1,284.89,281.93,273K,-2.31%
"May 08, 2019",284.79,284.52,286.65,282.32,242K,0.41%
"May 09, 2019",282.18,281.79,282.61,281.86,196K,-0.92%
"May 10, 2019",282.81,282.35,284.39,282.25,340K,0.22%
"May 13, 2019",286.73,286.8,289.26,285.85,108K,1.37%
"May 14, 2019",284.19,283.75,285.02,282.4,372K,-0.89%
"May 15, 2019",287.39,286.98,288.79,285.0,491K,1.12%
"May 16, 2019",286.32,286.09,289.03,285.89,412K,-0.37%
"May 17, 2019",291.56,291.31,292.98,290.04,437K,1.81%
"May 20, 2019",290.67,290.8,291.9,290.0,211K,-0.31%
"May 21, 2019",288.41,288.78,289.85,286.42,196K,-0.78%
"May 22, 2019",290.58,290.88,292.23,288.55,282K,0.75%
"May 23, 2019",289.49,289.21,291.42,289.16,70K,-0.38%
"May 24, 2019",287.23,286.94,289.59,285.71,475K,-0.78%
"May 27, 2019",286.04,286.57,287.49,283.54,114K,-0.42%
"May 28, 2019",286.08,285.52,288.47,283.79,456K,0.02%
"May 29, 2019",290.12,290.56,291.8,288.48,87K,1.4%
"May 30, 2019",284.73,284.39,285.89,282.0,420K,-1.87%
"May 31, 2019",284.97,285.48,286.94,283.31,118K,0.08%
"Jun 03, 2019",286.93,286.75,289.07,285.14,67K,0.68%
"Jun 04, 2019",287.66,287.59,289.39,286.8,373K,0.25%
"Jun 05, 2019",291.62,291.87,292.07,289.64,176K,1.37%
"Jun 06, 2019",291.58,291.69,292.32,291.25,371K,-0.01%
"Jun 07, 2019",291.22,291.01,292.26,288.78,299K,-0.12%
"Jun 10, 2019",293.13,293.19,294.16,291.75,98K,0.65%
"Jun 11, 2019",293.59,293.86,295.67,290.89,469K,0.16%
"Jun 12, 2019",292.62,292.09,292.97,291.63,253K,-0.33%
"Jun 13, 2019",294.32,293.74,296.61,294.01,380K,0.58%
"Jun 14, 2019",292.58,292.53,293.57,291.81,275K,-0.59%
"Jun 17, 2019",290.97,290.54,292.07,289.51,321K,-0.55%
"Jun 18, 2019",289.61,289.8,291.28,287.98,186K,-0.47%
"Jun 19, 2019",293.73,293.4,294.6,293.0,140K,1.41%
"Jun 20, 2019",284.59,284.52,287.14,284.14,294K,-3.16%
"Jun 21, 2019",285.89,285.55,286.4,285.58,248K,0.46%
"Jun 24, 2019",286.16,286.22,287.59,284.32,225K,0.09%
"Jun 25, 2019",281.56,281.13,283.99,281.26,352K,-1.62%
"Jun 26, 2019",282.6,282.06,284.45,280.17,360K,0.37%
"Jun 27, 2019",284.12,283.61,285.15,281.93,70K,0.54%
"Jun 28, 2019",285.97,286.49,287.34,283.34,202K,0.65%
"Jul 01, 2019",278.66,278.26,280.71,276.55,235K,-2.59%
"Jul 02, 2019",282.66,282.9,285.42,281.79,93K,1.43%
"Jul 03, 2019",280.75,280.27,283.29,280.1,156K,-0.68%
"Jul 04, 2019",282.85,282.41,284.01,282.01,73K,0.75%
"Jul 05, 2019",285.13,285.14,287.98,283.9,498K,0.8%
"Jul 08, 2019",282.81,282.77,283.1,281.29,381K,-0.82%
"Jul 09, 2019",284.85,285.37,285.21,283.82,89K,0.72%
"Jul 10, 2019",283.93,284.43,286.32,282.09,59K,-0.33%
"Jul 11, 2019",278.28,278.59,279.05,277.6,373K,-2.01%
"Jul 12, 2019",281.71,281.83,282.15,280.61,247K,1.23%
"Jul 15, 2019",279.71,279.66,280.58,278.67,404K,-0.72%
"Jul 16, 2019",277.49,277.33,278.83,276.06,465K,-0.79%
"Jul 17, 2019",276.54,277.04,278.64,275.98,319K,-0.34%
"Jul 18, 2019",277.46,277.58,279.3,275.32,134K,0.33%
"Jul 19, 2019",277.47,277.56,278.34,275.65,401K,0.0%
"Jul 22, 2019",279.16,278.86,280.71,278.32,480K,0.61%
"Jul 23, 2019",275.61,275.11,278.19,274.08,311K,-1.28%
"Jul 24, 2019",273.74,274.23,276.02,273.19,356K,-0.68%
"Jul 25, 2019",273.59,273.38,274.65,271.7,201K,-0.06%
"Jul 26, 2019",278.99,278.93,281.74,277.13,221K,1.96%
"Jul 29, 2019",278.84,278.41,280.9,278.29,380K,-0.05%
"Jul 30, 2019",282.06,282.44,282.5,280.41,467K,1.15%
"Jul 31, 2019",282.33,281.8,282.71,280.82,333K,0.1%
"Aug 01, 2019",281.14,281.52,281.85,279.17,405K,-0.42%
"Aug 02, 2019",280.62,280.21,282.74,278.51,127K,-0.19%
"Aug 05, 2019",280.31,280.75,281.06,279.16,145K,-0.11%
"Aug 06, 2019",282.18,282.44,283.76,279.66,289K,0.66%
"Aug 07, 2019",286.26,285.87,286.78,285.66,129K,1.43%
"Aug 08, 2019",287.46,287.54,290.13,286.6,335K,0.42%
"Aug 09, 2019",291.07,290.85,292.26,288.66,181K,1.25%
"Aug 12, 2019",288.45,288.07,291.09,287.36,406K,-0.9%
"Aug 13, 2019",287.42,287.84,290.16,286.11,413K,-0.35%
"Aug 14, 2019",285.52,285.41,285.82,283.14,258K,-0.66%
"Aug 15, 2019",286.59,286.48,288.08,284.43,131K,0.37%
"Aug 16, 2019",285.74,285.36,286.09,283.93,341K,-0.3%
"Aug 19, 2019",288.0,287.87,290.65,286.94,496K,0.79%
"Aug 20, 2019",285.51,285.93,287.12,284.29,330K,-0.87%
"Aug 21, 2019",285.8,285.64,286.28,284.31,66K,0.1%
"Aug 22, 2019",287.94,288.46,288.52,287.05,57K,0.75%
"Aug 23, 2019",282.23,282.73,283.48,281.33,194K,-2.01%
"Aug 26, 2019",288.45,288.04,291.18,287.17,138K,2.18%
"Aug 27, 2019",287.81,287.44,289.89,286.97,415K,-0.22%
"Aug 28, 2019",282.21,282.62,284.69,280.23,430K,-1.97%
"Aug 29, 2019",282.82,282.7,284.04,282.24,166K,0.22%
"Aug 30, 2019",283.09,282.53,283.48,281.82,196K,0.09%
"Sep 02, 2019",283.03,282.77,285.79,282.29,156K,-0.02%
"Sep 03, 2019",286.02,286.13,286.35,284.56,458K,1.05%
"Sep 04, 2019",288.34,288.68,291.08,286.02,276K,0.81%
"Sep 05, 2019",289.37,288.94,290.62,287.89,345K,0.36%
"Sep 06, 2019",290.85,290.4,291.17,288.91,236K,0.51%
"Sep 09, 2019",290.72,291.21,292.81,289.64,333K,-0.04%
"Sep 10, 2019",296.11,296.4,299.01,294.41,223K,1.84%
"Sep 11, 2019",291.93,292.04,294.76,291.21,202K,-1.42%
"Sep 12, 2019",292.52,292.83,293.23,291.38,335K,0.2%
"Sep 13, 2019",292.88,292.8,293.65,291.76,315K,0.13%
"Sep 16, 2019",295.45,295.76,297.25,293.07,182K,0.87%
"Sep 17, 2019",293.14,292.99,295.12,292.81,117K,-0.78%
"Sep 18, 2019",288.25,287.95,290.46,287.55,215K,-1.68%
"Sep 19, 2019",288.88,289.14,289.63,288.04,236K,0.22%
"Sep 20, 2019",289.86,289.77,292.65,287.83,332K,0.34%
"Sep 23, 2019",294.39,294.96,296.38,292.86,461K,1.55%
"Sep 24, 2019",290.85,290.67,293.36,288.3,66K,-1.21%
"Sep 25, 2019",294.4,294.9,296.13,292.88,159K,1.21%
"Sep 26, 2019",301.64,302.16,303.06,299.02,137K,2.43%
"Sep 27, 2019",300.68,300.37,303.62,299.17,276K,-0.32%
"Sep 30, 2019",297.0,297.35,298.85,295.76,243K,-1.23%
"Oct 01, 2019",295.97,295.89,298.58,294.05,378K,-0.35%
"Oct 02, 2019",296.19,296.69,299.03,294.56,159K,0.07%
"Oct 03, 2019",298.04,297.98,300.15,297.41,317K,0.62%
"Oct 04, 2019",296.46,296.75,298.23,293.79,447K,-0.53%
"Oct 07, 2019",301.29,301.25,301.6,300.43,459K,1.62%
"Oct 08, 2019",298.13,297.81,298.54,295.61,481K,-1.05%
"Oct 09, 2019",293.17,292.81,293.99,290.33,397K,-1.68%
"Oct 10, 2019",296.61,296.52,297.4,294.14,457K,1.17%
"Oct 11, 2019",290.11,290.41,291.07,289.21,155K,-2.21%
"Oct 14, 2019",289.69,289.81,290.78,287.85,138K,-0.14%
"Oct 15, 2019",299.05,299.27,300.31,298.4,52K,3.18%
"Oct 16, 2019",299.19,298.93,300.62,297.61,368K,0.05%
"Oct 17, 2019",296.03,296.01,296.59,293.13,471K,-1.06%
"Oct 18, 2019",296.04,295.5,296.45,294.99,134K,0.0%
"Oct 21, 2019",296.07,296.44,298.16,293.4,336K,0.01%
"Oct 22, 2019",296.72,297.3,298.45,295.86,385K,0.22%
"Oct 23, 2019",298.87,298.76,300.37,296.34,467K,0.72%
"Oct 24, 2019",295.96,295.38,297.95,293.92,341K,-0.98%
"Oct 25, 2019",301.18,300.78,303.72,300.23,486K,1.75%
"Oct 28, 2019",302.1,302.28,303.56,301.67,205K,0.31%
"Oct 29, 2019",304.48,304.62,306.55,302.46,207K,0.79%
"Oct 30, 2019",302.76,303.11,305.66,301.99,294K,-0.57%
"Oct 31, 2019",306.86,306.56,309.49,304.32,222K,1.35%
"Nov 01, 2019",306.26,306.58,307.74,305.42,50K,-0.2%
"Nov 04, 2019",307.3,307.53,309.39,306.04,379K,0.34%
"Nov 05, 2019",304.62,304.41,305.41,302.11,388K,-0.87%
"Nov 06, 2019",301.78,301.84,303.61,299.59,386K,-0.94%
"Nov 07, 2019",304.05,303.62,307.04,301.37,205K,0.75%
"Nov 08, 2019",302.89,302.83,304.6,300.9,285K,-0.38%
"Nov 11, 2019",300.49,300.95,303.3,298.04,211K,-0.79%
"Nov 12, 2019",298.74,298.65,300.14,297.49,57K,-0.58%
"Nov 13, 2019",301.02,301.43,304.03,300.7,303K,0.76%
"Nov 14, 2019",299.31,299.42,301.17,296.35,105K,-0.57%
"Nov 15, 2019",299.14,298.77,299.55,297.6,86K,-0.06%
"Nov 18, 2019",299.36,299.46,301.24,297.92,389K,0.08%
"Nov 19, 2019",293.85,293.86,294.87,293.33,54K,-1.86%
"Nov 20, 2019",289.74,289.62,290.11,288.16,481K,-1.41%
"Nov 21, 2019",290.89,290.44,293.33,289.4,281K,0.4%
"Nov 22, 2019",288.92,288.83,289.93,287.26,492K,-0.68%
"Nov 25, 2019",292.17,291.67,294.56,289.95,76K,1.12%
"Nov 26, 2019",295.18,294.71,296.25,292.38,312K,1.03%
"Nov 27, 2019",297.49,297.39,298.31,295.61,207K,0.78%
"Nov 28, 2019",303.14,302.9,306.1,300.25,429K,1.88%
"Nov 29, 2019",303.07,303.58,304.36,301.54,212K,-0.02%
"Dec 02, 2019",305.22,305.07,307.18,303.02,167K,0.71%
"Dec 03, 2019",303.63,303.94,305.6,302.05,435K,-0.52%
"Dec 04, 2019",311.35,311.39,313.23,308.62,218K,2.51%
"Dec 05, 2019",317.78,318.04,320.72,317.27,57K,2.04%
"Dec 06, 2019",318.01,317.7,320.26,317.39,225K,0.07%
"Dec 09, 2019",319.43,320.0,320.91,316.79,344K,0.45%
"Dec 10, 2019",324.0,324.04,326.84,321.76,164K,1.42%
"Dec 11, 2019",323.72,324.15,324.57,322.27,244K,-0.09%
"Dec 12, 2019",321.79,321.62,323.69,318.85,75K,-0.6%
"Dec 13, 2019",324.81,324.29,327.91,322.6,314K,0.93%
"Dec 16, 2019",325.26,325.49,327.42,322.74,390K,0.14%
"Dec 17, 2019",326.05,325.41,328.78,325.48,235K,0.24%
"Dec 18, 2019",323.54,323.51,325.76,322.78,239K,-0.77%
"Dec 19, 2019",318.22,317.83,320.94,316.7,89K,-1.66%
"Dec 20, 2019",319.16,319.33,322.19,317.47,140K,0.3%
"Dec 23, 2019",322.26,322.88,323.37,321.73,119K,0.96%
"Dec 24, 2019",321.72,321.68,322.54,321.21,266K,-0.17%
"Dec 25, 2019",326.57,326.99,328.32,326.16,288K,1.5%
"Dec 26, 2019",324.48,324.49,326.85,321.6,477K,-0.64%
"Dec 27, 2019",321.27,321.26,322.24,318.52,82K,-0.99%
"Dec 30, 2019",321.24,321.8,321.58,319.99,319K,-0.01%
"Dec 31, 2019",321.17,321.67,322.48,319.52,286K,-0.02%
