Date,Price,Open,High,Low,Vol.,Change %
"Jan 01, 2019",342.83,343.5,344.77,341.51,57K,0.83%
"Jan 02, 2019",343.82,343.27,344.79,340.78,484K,0.29%
"Jan 03, 2019",345.02,345.57,346.65,344.65,357K,0.35%
"Jan 04, 2019",347.91,348.11,351.15,344.59,101K,0.83%
"Jan 07, 2019",342.61,343.05,344.43,339.4,203K,-1.53%
"Jan 08, 2019",347.87,347.32,350.95,344.63,386K,1.52%
"Jan 09, 2019",349.8,350.27,350.66,349.05,387K,0.55%
"Jan 10, 2019",346.77,346.95,349.97,345.58,126K,-0.87%
"Jan 11, 2019",347.69,347.7,349.38,347.25,261K,0.26%
"Jan 14, 2019",352.98,353.06,356.31,349.66,413K,1.51%
"Jan 15, 2019",354.32,354.67,357.44,352.98,485K,0.38%
"Jan 16, 2019",351.69,351.4,354.13,349.86,330K,-0.75%
"Jan 17, 2019",347.0,347.62,349.45,345.53,337K,-1.34%
"Jan 18, 2019",356.75,356.48,357.79,354.83,261K,2.77%
"Jan 21, 2019",350.2,350.73,352.45,348.83,292K,-1.85%
"Jan 22, 2019",351.71,351.03,353.81,351.07,94K,0.43%
"Jan 23, 2019",349.66,350.24,351.06,348.01,207K,-0.59%
"Jan 24, 2019",353.91,354.4,355.87,353.22,278K,1.21%
"Jan 25, 2019",349.41,348.89,352.68,348.38,173K,-1.28%
"Jan 28, 2019",355.86,356.2,356.24,355.07,211K,1.83%
"Jan 29, 2019",355.59,355.41,357.28,354.14,487K,-0.08%
"Jan 30, 2019",354.94,354.91,356.36,353.05,52K,-0.18%
"Jan 31, 2019",353.93,353.32,357.35,350.61,186K,-0.28%
"Feb 01, 2019",351.84,351.44,355.28,350.97,312K,-0.59%
"Feb 04, 2019",350.63,351.27,352.83,347.89,175K,-0.35%
"Feb 05, 2019",353.62,353.51,355.73,350.2,354K,0.85%
"Feb 06, 2019",347.2,346.54,350.37,345.35,184K,-1.83%
"Feb 07, 2019",344.55,344.58,344.92,343.07,337K,-0.76%
"Feb 08, 2019",350.48,351.17,352.6,349.06,432K,1.7%
"Feb 11, 2019",350.34,350.11,350.77,348.95,346K,-0.04%
"Feb 12, 2019",348.35,347.85,351.73,346.92,72K,-0.57%
"Feb 13, 2019",343.71,343.9,345.04,342.77,407K,-1.34%
"Feb 14, 2019",339.51,340.08,341.44,338.47,145K,-1.23%
"Feb 15, 2019",343.41,343.9,345.04,342.49,335K,1.14%
"Feb 18, 2019",340.52,340.73,343.6,338.52,341K,-0.84%
"Feb 19, 2019",343.75,343.32,347.19,340.51,411K,0.94%
"Feb 20, 2019",340.27,340.65,340.82,338.82,277K,-1.02%
"Feb 21, 2019",340.0,340.44,342.58,337.24,219K,-0.08%
"Feb 22, 2019",339.95,340.42,341.41,339.18,283K,-0.02%
"Feb 25, 2019",337.34,337.21,338.1,336.16,295K,-0.77%
"Feb 26, 2019",337.83,337.71,339.4,336.78,419K,0.14%
"Feb 27, 2019",330.26,329.8,333.55,327.81,142K,-2.27%
"Feb 28, 2019",330.13,330.49,331.53,328.71,431K,-0.04%
"Mar 01, 2019",331.95,332.27,333.11,330.21,214K,0.55%
"Mar 04, 2019",329.12,328.59,331.95,326.62,384K,-0.86%
"Mar 05, 2019",330.09,329.45,332.99,329.2,201K,0.29%
"Mar 06, 2019",330.84,331.44,332.18,329.17,368K,0.23%
"Mar 07, 2019",331.75,331.11,332.97,329.0,409K,0.27%
"Mar 08, 2019",327.07,327.24,329.3,324.7,301K,-1.42%
"Mar 11, 2019",327.61,327.55,328.54,325.0,328K,0.16%
"Mar 12, 2019",321.66,322.01,323.38,319.34,368K,-1.83%
"Mar 13, 2019",319.63,319.1,320.35,316.97,359K,-0.63%
"Mar 14, 2019",319.81,320.04,321.0,317.68,377K,0.06%
"Mar 15, 2019",320.73,320.88,321.91,319.53,432K,0.29%
"Mar 18, 2019",316.68,317.13,318.98,316.25,149K,-1.27%
"Mar 19, 2019",315.88,315.91,317.0,313.32,146K,-0.25%
"Mar 20, 2019",318.85,319.14,321.75,316.52,486K,0.93%
"Mar 21, 2019",315.62,315.54,318.73,312.47,433K,-1.02%
"Mar 22, 2019",308.42,309.01,308.95,305.96,316K,-2.31%
"Mar 25, 2019",310.4,310.48,311.83,308.47,53K,0.64%
"Mar 26, 2019",307.39,307.7,308.53,305.59,434K,-0.98%
"Mar 27, 2019",305.42,304.92,306.69,303.1,388K,-0.64%
"Mar 28, 2019",306.04,306.0,307.08,303.39,480K,0.2%
"Mar 29, 2019",306.48,305.95,307.85,304.97,55K,0.14%
"Apr 01, 2019",310.13,309.66,310.84,308.17,62K,1.18%
"Apr 02, 2019",309.5,309.5,310.58,307.59,282K,-0.21%
"Apr 03, 2019",309.91,309.73,312.31,309.31,435K,0.14%
"Apr 04, 2019",304.38,304.33,305.63,302.87,496K,-1.8%
"Apr 05, 2019",306.67,306.67,307.55,304.68,194K,0.75%
"Apr 08, 2019",304.53,304.12,305.13,302.18,66K,-0.7%
