Date,Price,Open,High,Low,Vol.,Change %
"Jan 01, 2019",311.24,311.04,311.68,309.08,290K,0.4%
"Jan 02, 2019",310.61,310.83,312.19,308.76,497K,-0.2%
"Jan 03, 2019",306.8,307.27,308.62,305.61,310K,-1.24%
"Jan 04, 2019",306.68,306.17,308.27,305.55,467K,-0.04%
"Jan 07, 2019",302.8,303.39,304.52,299.85,462K,-1.27%
"Jan 08, 2019",302.05,302.22,305.03,301.12,180K,-0.25%
"Jan 09, 2019",302.04,301.5,304.72,300.36,56K,-0.0%
"Jan 10, 2019",295.17,294.95,296.28,293.7,247K,-2.3%
"Jan 11, 2019",299.47,299.94,301.26,297.28,437K,1.45%
"Jan 14, 2019",295.97,296.08,296.26,294.13,426K,-1.18%
"Jan 15, 2019",295.59,295.34,296.98,294.53,321K,-0.13%
"Jan 16, 2019",297.35,297.88,298.09,296.46,120K,0.59%
"Jan 17, 2019",301.45,301.8,303.68,299.49,98K,1.37%
"Jan 18, 2019",299.25,299.53,300.15,298.12,479K,-0.73%
"Jan 21, 2019",292.01,292.47,294.27,289.77,239K,-2.45%
"Jan 22, 2019",295.36,295.67,296.48,294.61,341K,1.14%
"Jan 23, 2019",291.86,291.61,294.59,290.55,457K,-1.19%
"Jan 24, 2019",293.09,293.19,294.56,292.2,441K,0.42%
"Jan 25, 2019",294.51,294.91,297.02,292.82,305K,0.48%
"Jan 28, 2019",285.25,284.89,287.15,282.99,269K,-3.19%
"Jan 29, 2019",280.85,280.47,283.6,279.13,380K,-1.55%
"Jan 30, 2019",279.73,279.35,281.88,277.89,207K,-0.4%
"Jan 31, 2019",272.76,272.42,274.82,270.85,331K,-2.52%
"Feb 01, 2019",269.29,268.87,270.2,267.11,60K,-1.28%
"Feb 04, 2019",269.79,270.15,271.28,268.93,420K,0.18%
"Feb 05, 2019",269.71,270.05,270.68,267.22,499K,-0.03%
"Feb 06, 2019",270.69,270.31,271.01,270.14,479K,0.36%
"Feb 07, 2019",272.07,272.29,274.08,269.78,211K,0.51%
"Feb 08, 2019",267.69,267.83,268.53,267.38,288K,-1.62%
"Feb 11, 2019",264.43,264.2,265.64,264.14,156K,-1.22%
"Feb 12, 2019",266.62,266.32,267.57,264.91,186K,0.82%
"Feb 13, 2019",270.87,270.6,271.63,270.57,255K,1.58%
"Feb 14, 2019",268.43,268.67,268.86,267.84,386K,-0.91%
"Feb 15, 2019",269.28,269.09,270.37,266.79,58K,0.32%
"Feb 18, 2019",271.63,271.39,272.1,271.23,227K,0.87%
"Feb 19, 2019",272.44,271.92,274.04,269.82,300K,0.3%
"Feb 20, 2019",271.92,272.37,272.24,269.65,146K,-0.19%
"Feb 21, 2019",270.35,270.62,272.91,269.07,85K,-0.58%
"Feb 22, 2019",275.94,275.91,278.61,273.38,292K,2.05%
"Feb 25, 2019",276.37,276.86,277.4,274.01,337K,0.16%
"Feb 26, 2019",277.61,277.38,278.54,277.22,338K,0.45%
"Feb 27, 2019",278.68,278.88,279.22,278.39,210K,0.38%
"Feb 28, 2019",276.59,276.38,279.12,275.81,156K,-0.75%
