Date,Price,Open,High,Low,Vol.,Change %
"Jan 01, 2019",960.33,960.51,966.06,951.3,205K,0.03%
"Jan 02, 2019",968.69,967.85,971.8,963.92,288K,0.87%
"Jan 03, 2019",966.91,967.39,969.7,959.91,470K,-0.18%
"Jan 04, 2019",974.34,974.73,981.92,966.93,87K,0.77%
"Jan 07, 2019",952.2,953.49,953.26,947.01,98K,-2.3%
"Jan 08, 2019",931.5,930.68,940.09,929.71,497K,-2.2%
"Jan 09, 2019",964.68,964.98,965.81,960.4,487K,3.5%
"Jan 10, 2019",983.87,984.96,990.44,981.01,397K,1.97%
"Jan 11, 2019",996.48,996.44,1002.9,991.9,267K,1.27%
"Jan 14, 2019",987.85,989.16,993.98,984.18,277K,-0.87%
"Jan 15, 2019",985.51,984.06,990.7,979.49,165K,-0.24%
"Jan 16, 2019",986.67,987.59,995.23,985.03,244K,0.12%
"Jan 17, 2019",1007.52,1009.31,1014.51,1002.0,244K,2.09%
"Jan 18, 2019",1014.85,1014.16,1023.0,1009.74,66K,0.72%
"Jan 21, 2019",1024.11,1023.57,1026.2,1018.71,253K,0.91%
"Jan 22, 2019",1022.77,1021.06,1024.25,1015.45,265K,-0.13%
"Jan 23, 2019",1036.24,1036.83,1037.55,1028.04,349K,1.31%
"Jan 24, 2019",1042.2,1042.42,1044.63,1032.47,282K,0.57%
"Jan 25, 2019",1044.14,1042.22,1051.46,1040.45,437K,0.19%
"Jan 28, 2019",1033.81,1034.85,1039.44,1026.16,215K,-0.99%
"Jan 29, 2019",1033.29,1034.65,1041.32,1026.58,234K,-0.05%
"Jan 30, 2019",1017.91,1019.57,1020.69,1016.16,307K,-1.5%
"Jan 31, 2019",1018.52,1018.71,1022.9,1013.53,141K,0.06%
"Feb 01, 2019",1021.11,1020.91,1030.29,1011.79,227K,0.25%
"Feb 04, 2019",986.12,987.6,995.41,983.35,358K,-3.49%
"Feb 05, 2019",983.89,983.5,993.04,976.32,235K,-0.23%
"Feb 06, 2019",967.85,968.45,975.95,962.99,457K,-1.64%
"Feb 07, 2019",976.29,976.74,983.31,971.01,326K,0.87%
"Feb 08, 2019",986.85,986.34,995.95,979.09,119K,1.08%
"Feb 11, 2019",981.74,980.11,989.03,972.94,269K,-0.52%
"Feb 12, 2019",991.04,989.14,1000.54,983.02,394K,0.94%
"Feb 13, 2019",1001.07,1000.78,1002.29,991.93,339K,1.01%
"Feb 14, 2019",998.82,998.75,1008.11,991.31,448K,-0.22%
"Feb 15, 2019",1023.3,1024.62,1029.45,1022.26,387K,2.42%
"Feb 18, 2019",1013.45,1013.1,1015.48,1006.98,77K,-0.97%
"Feb 19, 2019",1037.31,1036.4,1040.35,1035.0,100K,2.33%
"Feb 20, 2019",1035.05,1034.9,1044.03,1029.82,342K,-0.22%
"Feb 21, 2019",1023.27,1022.2,1028.95,1019.18,157K,-1.14%
"Feb 22, 2019",1019.11,1017.44,1029.14,1010.35,314K,-0.41%
"Feb 25, 2019",1003.65,1002.09,1005.71,996.09,406K,-1.53%
"Feb 26, 2019",1016.75,1016.01,1021.54,1011.25,309K,1.3%
"Feb 27, 2019",993.79,991.85,997.75,991.73,236K,-2.28%
"Feb 28, 2019",1015.94,1014.8,1021.67,1006.17,340K,2.2%
"Mar 01, 2019",1002.98,1004.13,1009.7,997.52,114K,-1.28%
"Mar 04, 2019",1016.86,1015.78,1023.93,1007.16,375K,1.37%
"Mar 05, 2019",1018.45,1016.87,1019.48,1012.46,363K,0.16%
"Mar 06, 2019",1023.83,1025.67,1025.67,1019.38,281K,0.53%
"Mar 07, 2019",1016.02,1016.52,1017.36,1012.67,175K,-0.77%
"Mar 08, 2019",1022.64,1020.84,1031.62,1013.69,408K,0.65%
"Mar 11, 2019",1025.94,1024.15,1029.86,1017.22,279K,0.32%
"Mar 12, 2019",1004.96,1005.41,1009.28,999.16,76K,-2.07%
"Mar 13, 2019",991.74,991.9,996.75,990.73,463K,-1.32%
"Mar 14, 2019",984.91,983.21,993.42,978.22,395K,-0.69%
"Mar 15, 2019",974.99,973.91,976.09,968.99,313K,-1.01%
"Mar 18, 2019",994.67,996.38,996.73,988.6,246K,2.0%
"Mar 19, 2019",995.97,996.26,1003.11,986.74,481K,0.13%
"Mar 20, 2019",985.59,985.36,995.13,982.6,398K,-1.05%
"Mar 21, 2019",979.54,978.56,986.18,971.97,290K,-0.62%
"Mar 22, 2019",973.32,971.89,976.58,969.75,343K,-0.64%
"Mar 25, 2019",970.29,969.91,975.8,964.73,176K,-0.31%
"Mar 26, 2019",955.91,957.52,965.25,951.61,138K,-1.49%
"Mar 27, 2019",945.44,943.74,950.88,936.45,172K,-1.1%
"Mar 28, 2019",957.53,959.41,961.7,955.62,181K,1.27%
"Mar 29, 2019",961.34,960.22,965.62,953.84,382K,0.4%
"Apr 01, 2019",960.3,959.95,969.62,956.49,113K,-0.11%
"Apr 02, 2019",961.49,959.74,968.67,958.78,399K,0.12%
"Apr 03, 2019",961.99,962.32,968.9,957.04,285K,0.05%
"Apr 04, 2019",960.13,960.06,963.09,953.44,223K,-0.19%
"Apr 05, 2019",968.77,969.41,974.61,967.6,185K,0.9%
"Apr 08, 2019",976.4,976.56,980.51,969.08,280K,0.78%
"Apr 09, 2019",954.79,954.4,957.81,953.4,192K,-2.24%
"Apr 10, 2019",954.05,954.96,962.7,945.85,243K,-0.08%
"Apr 11, 2019",933.87,932.09,938.02,927.8,382K,-2.14%
"Apr 12, 2019",943.94,944.1,947.29,935.68,331K,1.07%
"Apr 15, 2019",956.02,954.55,965.0,946.48,386K,1.27%
"Apr 16, 2019",948.44,948.2,951.07,941.18,370K,-0.8%
"Apr 17, 2019",947.92,949.02,955.23,939.18,416K,-0.06%
"Apr 18, 2019",919.47,918.15,925.79,918.44,140K,-3.05%
"Apr 19, 2019",934.1,935.73,942.78,931.17,497K,1.58%
"Apr 22, 2019",945.24,946.7,953.26,935.81,264K,1.18%
"Apr 23, 2019",962.84,962.51,969.91,955.15,373K,1.85%
"Apr 24, 2019",985.73,983.78,989.51,981.82,354K,2.35%
"Apr 25, 2019",968.96,970.08,974.25,962.74,304K,-1.72%
"Apr 26, 2019",983.13,984.63,992.47,980.66,498K,1.45%
"Apr 29, 2019",1006.4,1005.09,1007.61,1000.91,147K,2.34%
"Apr 30, 2019",985.27,986.91,993.3,981.21,239K,-2.12%
"May 01, 2019",983.92,985.55,987.13,979.37,107K,-0.14%
"May 02, 2019",979.75,979.63,982.36,975.58,131K,-0.43%
"May 03, 2019",993.59,994.78,996.66,985.71,370K,1.4%
"May 06, 2019",959.7,959.48,961.17,953.32,52K,-3.47%
"May 07, 2019",987.38,987.63,997.18,977.96,450K,2.84%
"May 08, 2019",986.9,986.19,995.61,982.25,334K,-0.05%
"May 09, 2019",1001.76,1000.39,1007.46,995.88,248K,1.49%
"May 10, 2019",1002.05,1003.04,1009.5,998.89,199K,0.03%
"May 13, 2019",1010.69,1008.67,1016.76,1002.46,106K,0.86%
"May 14, 2019",977.27,977.58,985.39,971.34,464K,-3.36%
"May 15, 2019",972.81,974.23,981.18,964.67,370K,-0.46%
"May 16, 2019",986.45,985.35,989.5,982.03,201K,1.39%
"May 17, 2019",991.92,991.26,997.01,989.57,81K,0.55%
"May 20, 2019",969.02,969.36,975.53,966.01,196K,-2.34%
"May 21, 2019",971.08,970.1,980.6,969.62,133K,0.21%
"May 22, 2019",960.38,961.71,967.24,959.17,403K,-1.11%
"May 23, 2019",948.56,948.06,957.17,945.67,373K,-1.24%
"May 24, 2019",928.28,928.59,936.28,921.4,274K,-2.16%
"May 27, 2019",938.06,937.04,943.92,930.53,448K,1.05%
"May 28, 2019",955.0,953.25,963.64,949.3,131K,1.79%
"May 29, 2019",987.04,985.76,991.38,986.0,253K,3.3%
"May 30, 2019",966.62,964.86,970.88,960.54,369K,-2.09%
"May 31, 2019",978.98,978.86,986.84,970.95,80K,1.27%
"Jun 03, 2019",992.49,992.83,994.68,991.0,217K,1.37%
"Jun 04, 2019",985.06,983.27,988.76,978.63,307K,-0.75%
"Jun 05, 2019",972.76,971.17,979.06,969.08,215K,-1.26%
"Jun 06, 2019",958.2,958.14,962.78,955.41,266K,-1.51%
"Jun 07, 2019",951.79,952.93,960.8,949.49,323K,-0.67%
"Jun 10, 2019",955.83,956.32,965.03,953.34,215K,0.42%
"Jun 11, 2019",976.71,975.16,982.1,974.29,97K,2.16%
"Jun 12, 2019",994.23,995.77,1000.04,990.26,112K,1.78%
"Jun 13, 2019",971.59,973.21,978.9,965.41,287K,-2.3%
"Jun 14, 2019",961.31,960.64,966.23,957.47,128K,-1.06%
"Jun 17, 2019",981.42,981.87,984.08,978.99,450K,2.07%
"Jun 18, 2019",971.88,971.85,979.38,965.23,425K,-0.98%
"Jun 19, 2019",972.21,973.93,979.64,965.09,207K,0.03%
"Jun 20, 2019",948.8,948.83,951.84,942.25,423K,-2.44%
"Jun 21, 2019",966.51,968.29,974.72,961.64,289K,1.85%
"Jun 24, 2019",940.3,939.17,946.44,931.34,121K,-2.75%
"Jun 25, 2019",918.52,917.95,921.39,915.77,326K,-2.34%
"Jun 26, 2019",934.23,935.28,940.65,926.05,355K,1.7%
"Jun 27, 2019",962.68,963.77,965.67,954.2,87K,3.0%
