Date,Price,Open,High,Low,Vol.,Change %
"Jan 01, 2019",139.11,138.88,139.84,138.78,96K,0.8%
"Jan 02, 2019",139.84,139.85,141.2,139.13,175K,0.52%
"Jan 03, 2019",138.81,138.65,139.64,138.58,291K,-0.74%
"Jan 04, 2019",138.14,137.9,138.85,137.89,364K,-0.49%
"Jan 07, 2019",139.81,139.81,140.37,139.57,333K,1.2%
"Jan 08, 2019",138.89,138.89,139.85,137.6,473K,-0.66%
"Jan 09, 2019",139.11,139.22,139.53,137.87,408K,0.15%
"Jan 10, 2019",138.18,138.32,138.45,138.03,300K,-0.66%
"Jan 11, 2019",137.85,137.98,138.02,137.08,146K,-0.24%
"Jan 14, 2019",137.85,137.8,138.35,136.76,252K,-0.0%
"Jan 15, 2019",136.93,137.01,137.56,136.51,362K,-0.66%
"Jan 16, 2019",135.81,135.85,136.62,134.77,427K,-0.82%
"Jan 17, 2019",136.21,136.17,136.71,135.74,481K,0.3%
"Jan 18, 2019",135.24,135.29,136.57,134.9,322K,-0.72%
"Jan 21, 2019",134.31,134.55,134.79,133.91,287K,-0.69%
"Jan 22, 2019",133.23,133.07,133.89,132.23,57K,-0.81%
"Jan 23, 2019",133.19,133.41,133.45,132.34,82K,-0.03%
"Jan 24, 2019",134.38,134.14,134.83,133.54,120K,0.89%
"Jan 25, 2019",136.27,136.16,136.46,135.51,74K,1.4%
"Jan 28, 2019",135.44,135.32,136.25,134.29,230K,-0.61%
"Jan 29, 2019",138.14,138.21,139.21,137.32,201K,1.98%
"Jan 30, 2019",136.95,136.75,137.33,136.21,336K,-0.86%
"Jan 31, 2019",138.35,138.56,138.94,137.63,291K,1.02%
"Feb 01, 2019",137.51,137.69,137.66,137.15,318K,-0.61%
"Feb 04, 2019",136.49,136.57,137.65,135.76,262K,-0.74%
"Feb 05, 2019",135.63,135.61,136.72,134.55,174K,-0.63%
"Feb 06, 2019",135.62,135.85,135.83,135.07,478K,-0.01%
"Feb 07, 2019",136.38,136.56,136.97,136.0,88K,0.56%
"Feb 08, 2019",137.26,137.26,138.58,136.29,472K,0.64%
"Feb 11, 2019",136.16,136.27,136.77,135.59,190K,-0.81%
"Feb 12, 2019",135.0,135.04,135.78,133.83,280K,-0.85%
"Feb 13, 2019",133.95,134.0,134.51,133.02,98K,-0.78%
"Feb 14, 2019",133.87,133.78,134.72,133.62,81K,-0.06%
"Feb 15, 2019",133.67,133.65,134.98,133.43,243K,-0.15%
"Feb 18, 2019",132.58,132.36,133.91,131.94,383K,-0.82%
"Feb 19, 2019",132.96,132.88,134.02,132.47,171K,0.28%
"Feb 20, 2019",135.75,135.85,136.38,135.43,303K,2.08%
"Feb 21, 2019",135.19,135.43,135.92,135.0,175K,-0.41%
"Feb 22, 2019",134.71,134.96,135.28,133.96,224K,-0.35%
"Feb 25, 2019",135.45,135.48,136.78,134.78,457K,0.54%
"Feb 26, 2019",134.82,134.88,135.82,133.98,435K,-0.46%
"Feb 27, 2019",135.69,135.52,136.37,134.42,282K,0.64%
"Feb 28, 2019",134.87,134.98,135.02,134.03,157K,-0.61%
"Mar 01, 2019",137.17,136.93,137.95,136.77,136K,1.69%
"Mar 04, 2019",137.65,137.53,139.01,137.27,479K,0.35%
"Mar 05, 2019",136.94,137.03,137.72,136.67,141K,-0.52%
"Mar 06, 2019",136.27,136.16,136.63,134.97,413K,-0.49%
"Mar 07, 2019",135.69,135.45,135.86,134.98,216K,-0.42%
"Mar 08, 2019",137.44,137.62,138.01,136.19,493K,1.28%
"Mar 11, 2019",135.93,135.83,137.19,134.82,215K,-1.1%
"Mar 12, 2019",135.17,134.93,136.52,134.91,208K,-0.56%
"Mar 13, 2019",134.54,134.31,135.82,133.8,336K,-0.47%
"Mar 14, 2019",134.58,134.44,135.59,134.15,482K,0.03%
"Mar 15, 2019",134.3,134.13,135.11,133.04,489K,-0.2%
"Mar 18, 2019",132.56,132.71,133.4,131.74,368K,-1.3%
"Mar 19, 2019",132.14,132.05,132.91,131.62,389K,-0.32%
"Mar 20, 2019",132.08,132.24,133.05,130.91,303K,-0.05%
"Mar 21, 2019",131.38,131.21,132.01,130.46,390K,-0.53%
"Mar 22, 2019",132.25,132.25,133.18,131.01,436K,0.66%
"Mar 25, 2019",133.4,133.5,133.68,132.85,268K,0.87%
"Mar 26, 2019",133.36,133.44,133.81,133.19,328K,-0.03%
"Mar 27, 2019",133.69,133.75,134.83,133.35,291K,0.25%
"Mar 28, 2019",131.17,131.39,132.37,131.01,303K,-1.9%
"Mar 29, 2019",130.73,130.58,131.49,130.41,450K,-0.34%
"Apr 01, 2019",131.97,131.96,132.14,131.66,210K,0.94%
"Apr 02, 2019",131.52,131.72,132.75,130.89,143K,-0.34%
"Apr 03, 2019",130.7,130.48,131.66,130.0,255K,-0.62%
"Apr 04, 2019",133.46,133.22,134.09,132.61,143K,2.09%
"Apr 05, 2019",135.72,135.57,136.58,135.36,274K,1.68%
"Apr 08, 2019",136.34,136.42,137.01,135.2,456K,0.46%
"Apr 09, 2019",137.8,137.67,138.52,136.5,327K,1.07%
"Apr 10, 2019",135.13,134.96,136.34,134.93,434K,-1.96%
"Apr 11, 2019",134.22,134.2,134.55,132.89,124K,-0.67%
"Apr 12, 2019",133.71,133.77,133.97,133.55,455K,-0.38%
"Apr 15, 2019",133.48,133.35,133.62,133.02,320K,-0.17%
"Apr 16, 2019",132.95,132.84,133.46,132.01,64K,-0.4%
"Apr 17, 2019",129.98,130.04,130.28,129.5,334K,-2.26%
"Apr 18, 2019",130.49,130.72,130.88,130.14,478K,0.39%
"Apr 19, 2019",131.18,131.27,131.32,130.16,85K,0.53%
"Apr 22, 2019",133.14,133.29,133.54,132.73,312K,1.48%
"Apr 23, 2019",132.25,132.18,132.78,131.88,461K,-0.67%
"Apr 24, 2019",131.27,131.15,131.44,130.25,54K,-0.74%
"Apr 25, 2019",128.19,128.17,129.02,126.96,333K,-2.37%
"Apr 26, 2019",127.91,128.06,128.69,126.86,263K,-0.22%
"Apr 29, 2019",129.0,128.98,129.24,127.94,206K,0.85%
"Apr 30, 2019",128.34,128.52,129.16,127.13,332K,-0.51%
"May 01, 2019",130.89,131.15,132.2,130.44,73K,1.97%
"May 02, 2019",130.64,130.42,131.89,129.79,388K,-0.19%
"May 03, 2019",130.87,130.63,131.0,130.6,52K,0.17%
"May 06, 2019",129.33,129.14,130.38,128.33,188K,-1.19%
"May 07, 2019",129.71,129.65,130.26,128.94,276K,0.3%
"May 08, 2019",127.47,127.29,127.67,126.93,219K,-1.74%
"May 09, 2019",128.32,128.51,128.79,128.05,188K,0.66%
"May 10, 2019",129.21,128.97,129.72,128.53,423K,0.69%
"May 13, 2019",130.86,130.76,131.6,129.99,470K,1.26%
"May 14, 2019",129.71,129.55,130.61,129.43,443K,-0.88%
"May 15, 2019",129.95,130.18,130.96,129.02,285K,0.18%
"May 16, 2019",130.67,130.75,131.09,129.45,447K,0.55%
"May 17, 2019",131.24,131.46,131.75,130.45,464K,0.44%
"May 20, 2019",130.27,130.52,130.77,129.89,234K,-0.74%
"May 21, 2019",127.55,127.55,128.09,126.31,177K,-2.11%
"May 22, 2019",128.0,127.86,129.28,127.4,94K,0.35%
"May 23, 2019",127.88,127.72,128.9,127.28,265K,-0.1%
"May 24, 2019",127.28,127.14,128.52,127.07,475K,-0.47%
"May 27, 2019",128.21,128.31,129.13,127.25,302K,0.73%
"May 28, 2019",128.2,127.97,128.8,127.24,350K,-0.0%
"May 29, 2019",126.74,126.52,127.31,125.98,100K,-1.15%
"May 30, 2019",124.61,124.66,125.28,123.76,114K,-1.7%
