Date,Price,Open,High,Low,Vol.,Change %
"Jan 01, 2019",4221.13,4216.97,4228.97,4208.19,194K,0.5%
"Jan 02, 2019",4188.12,4194.39,4202.44,4149.22,270K,-0.78%
"Jan 03, 2019",4217.62,4221.54,4222.24,4179.44,355K,0.7%
"Jan 04, 2019",4156.45,4161.83,4175.61,4126.37,440K,-1.46%
"Jan 07, 2019",4205.16,4209.99,4244.39,4172.85,376K,1.17%
"Jan 08, 2019",4126.54,4118.31,4160.45,4102.94,343K,-1.89%
"Jan 09, 2019",4087.86,4090.77,4094.06,4067.79,404K,-0.94%
"Jan 10, 2019",4106.48,4105.65,4136.93,4076.53,456K,0.45%
"Jan 11, 2019",4058.22,4066.15,4088.86,4043.05,153K,-1.18%
"Jan 14, 2019",4061.9,4063.21,4094.42,4021.54,330K,0.09%
"Jan 15, 2019",4088.24,4089.94,4116.51,4055.78,66K,0.65%
"Jan 16, 2019",4061.4,4069.51,4067.89,4033.69,496K,-0.66%
"Jan 17, 2019",4059.81,4056.05,4087.72,4033.61,436K,-0.04%
"Jan 18, 2019",4097.27,4101.71,4109.3,4069.72,216K,0.92%
"Jan 21, 2019",4118.98,4111.65,4145.09,4078.24,326K,0.53%
"Jan 22, 2019",4185.33,4185.19,4215.08,4178.81,295K,1.6%
"Jan 23, 2019",4153.66,4155.81,4161.78,4140.67,429K,-0.76%
"Jan 24, 2019",4115.78,4110.96,4137.19,4074.84,265K,-0.92%
"Jan 25, 2019",4173.65,4173.22,4186.58,4145.09,109K,1.4%
"Jan 28, 2019",4192.89,4192.16,4227.55,4167.66,266K,0.46%
"Jan 29, 2019",4185.68,4182.02,4224.95,4151.99,103K,-0.17%
"Jan 30, 2019",4164.63,4166.43,4188.14,4157.32,413K,-0.5%
"Jan 31, 2019",4202.03,4205.01,4227.22,4187.6,124K,0.89%
"Feb 01, 2019",4189.18,4182.27,4196.35,4179.84,216K,-0.31%
"Feb 04, 2019",4225.33,4219.49,4244.35,4211.13,97K,0.86%
"Feb 05, 2019",4282.61,4290.44,4292.48,4253.47,220K,1.35%
"Feb 06, 2019",4290.49,4282.59,4321.99,4265.99,483K,0.18%
"Feb 07, 2019",4236.03,4229.4,4276.83,4195.97,468K,-1.28%
"Feb 08, 2019",4263.59,4268.92,4298.82,4237.13,303K,0.65%
