Date,Price,Open,High,Low,Vol.,Change %
"Jan 01, 2019",1845.93,1846.56,1860.91,1827.98,367K,-0.22%
"Jan 02, 2019",1849.35,1846.05,1857.3,1841.05,80K,0.18%
"Jan 03, 2019",1839.59,1842.46,1842.5,1831.34,69K,-0.53%
"Jan 04, 2019",1867.19,1865.74,1879.76,1860.71,362K,1.49%
"Jan 07, 2019",1871.54,1868.83,1887.47,1853.01,475K,0.23%
"Jan 08, 2019",1854.83,1851.78,1867.79,1849.94,398K,-0.9%
"Jan 09, 2019",1874.96,1876.61,1884.01,1868.67,424K,1.08%
"Jan 10, 2019",1850.36,1851.87,1854.27,1834.2,295K,-1.32%
"Jan 11, 2019",1878.0,1879.51,1895.28,1865.1,187K,1.48%
"Jan 14, 2019",1899.92,1903.08,1906.54,1891.84,354K,1.16%
"Jan 15, 2019",1930.54,1929.37,1936.37,1919.85,370K,1.6%
"Jan 16, 2019",1928.53,1929.0,1944.62,1911.24,353K,-0.1%
"Jan 17, 2019",1919.38,1920.3,1938.25,1901.69,476K,-0.48%
"Jan 18, 2019",1922.5,1926.19,1935.84,1916.79,215K,0.16%
"Jan 21, 2019",1922.06,1920.62,1934.79,1905.54,67K,-0.02%
"Jan 22, 2019",1909.64,1913.13,1917.04,1893.5,458K,-0.65%
"Jan 23, 2019",1899.38,1896.71,1901.63,1894.59,122K,-0.54%
"Jan 24, 2019",1893.06,1895.06,1898.22,1884.56,363K,-0.33%
"Jan 25, 2019",1870.16,1871.16,1881.87,1861.64,442K,-1.22%
"Jan 28, 2019",1885.48,1887.87,1889.94,1874.76,189K,0.82%
"Jan 29, 2019",1885.72,1882.16,1902.6,1876.52,423K,0.01%
"Jan 30, 2019",1880.65,1877.48,1885.71,1872.03,199K,-0.27%
"Jan 31, 2019",1859.12,1855.92,1869.71,1856.72,407K,-1.15%
"Feb 01, 2019",1836.83,1837.51,1847.13,1822.14,81K,-1.21%
"Feb 04, 2019",1877.67,1878.45,1889.76,1862.52,344K,2.2%
"Feb 05, 2019",1866.07,1869.1,1873.43,1848.37,354K,-0.62%
"Feb 06, 2019",1879.96,1879.71,1896.62,1872.3,271K,0.74%
"Feb 07, 2019",1884.64,1881.39,1894.06,1875.11,359K,0.25%
"Feb 08, 2019",1829.26,1827.13,1842.62,1812.8,465K,-2.98%
"Feb 11, 2019",1866.99,1863.32,1879.54,1854.45,380K,2.04%
"Feb 12, 2019",1882.41,1884.49,1886.28,1866.61,482K,0.82%
"Feb 13, 2019",1867.89,1870.25,1880.22,1854.78,251K,-0.77%
"Feb 14, 2019",1868.61,1872.34,1879.74,1865.93,287K,0.04%
"Feb 15, 2019",1846.43,1845.79,1863.21,1839.32,168K,-1.19%
"Feb 18, 2019",1885.22,1881.6,1902.05,1866.5,493K,2.08%
"Feb 19, 2019",1867.8,1865.82,1872.2,1853.36,74K,-0.93%
"Feb 20, 2019",1858.38,1859.03,1861.61,1839.97,211K,-0.51%
"Feb 21, 2019",1844.82,1848.23,1851.56,1838.24,183K,-0.73%
"Feb 22, 2019",1847.74,1844.81,1866.0,1837.07,223K,0.16%
"Feb 25, 2019",1877.12,1874.28,1879.36,1875.14,462K,1.58%
"Feb 26, 2019",1915.77,1917.32,1929.29,1909.27,215K,2.04%
"Feb 27, 2019",1908.72,1910.0,1921.08,1898.53,462K,-0.37%
"Feb 28, 2019",1918.02,1916.11,1931.1,1912.73,240K,0.49%
"Mar 01, 2019",1921.09,1923.5,1926.79,1914.07,434K,0.16%
"Mar 04, 2019",1901.79,1898.97,1907.58,1886.95,284K,-1.01%
"Mar 05, 2019",1954.52,1957.85,1964.05,1944.3,190K,2.73%
"Mar 06, 2019",1985.43,1983.06,1989.13,1975.51,252K,1.57%
"Mar 07, 2019",1990.96,1987.62,1994.29,1979.13,240K,0.28%
"Mar 08, 2019",2027.32,2026.02,2030.96,2010.32,166K,1.81%
"Mar 11, 2019",2055.97,2053.41,2068.63,2039.55,180K,1.4%
"Mar 12, 2019",2059.27,2059.49,2068.7,2043.88,133K,0.16%
"Mar 13, 2019",2068.11,2069.66,2075.64,2047.62,201K,0.43%
"Mar 14, 2019",2104.27,2104.19,2112.36,2100.59,330K,1.73%
"Mar 15, 2019",2083.94,2085.28,2089.91,2075.97,223K,-0.97%
"Mar 18, 2019",2124.15,2123.0,2134.14,2116.09,370K,1.91%
"Mar 19, 2019",2120.38,2116.38,2126.38,2110.1,494K,-0.18%
"Mar 20, 2019",2157.75,2161.84,2173.47,2149.56,219K,1.75%
"Mar 21, 2019",2159.14,2161.9,2163.71,2156.63,258K,0.06%
"Mar 22, 2019",2168.69,2164.99,2189.37,2154.52,123K,0.44%
"Mar 25, 2019",2169.39,2168.95,2173.31,2161.61,226K,0.03%
"Mar 26, 2019",2158.25,2159.41,2178.73,2143.65,377K,-0.52%
"Mar 27, 2019",2153.35,2150.69,2171.65,2148.37,147K,-0.23%
"Mar 28, 2019",2187.8,2188.48,2203.39,2182.81,131K,1.59%
"Mar 29, 2019",2134.3,2134.59,2153.96,2130.29,219K,-2.48%
"Apr 01, 2019",2106.89,2104.43,2111.63,2085.92,418K,-1.29%
"Apr 02, 2019",2091.6,2088.6,2097.01,2076.3,330K,-0.73%
"Apr 03, 2019",2068.39,2070.53,2075.15,2050.2,480K,-1.12%
"Apr 04, 2019",2104.5,2103.01,2111.24,2092.06,457K,1.73%
"Apr 05, 2019",2135.31,2133.13,2143.42,2123.48,118K,1.45%
"Apr 08, 2019",2150.77,2152.82,2164.06,2134.22,69K,0.72%
"Apr 09, 2019",2137.23,2139.25,2139.91,2129.77,229K,-0.63%
"Apr 10, 2019",2170.36,2168.42,2180.0,2153.93,284K,1.54%
"Apr 11, 2019",2134.27,2137.45,2141.14,2129.33,282K,-1.68%
"Apr 12, 2019",2186.69,2188.33,2200.81,2168.32,110K,2.43%
"Apr 15, 2019",2171.8,2170.46,2193.23,2157.26,106K,-0.68%
"Apr 16, 2019",2167.07,2166.44,2179.33,2157.53,71K,-0.22%
"Apr 17, 2019",2158.37,2160.32,2168.79,2148.54,432K,-0.4%
"Apr 18, 2019",2134.53,2132.07,2143.74,2114.69,476K,-1.11%
"Apr 19, 2019",2181.74,2181.47,2199.34,2176.54,102K,2.19%
"Apr 22, 2019",2202.3,2203.65,2205.93,2192.13,145K,0.94%
"Apr 23, 2019",2233.5,2233.86,2255.03,2228.65,90K,1.41%
"Apr 24, 2019",2205.18,2206.14,2215.68,2200.35,444K,-1.28%
"Apr 25, 2019",2211.13,2211.53,2219.58,2199.88,481K,0.27%
"Apr 26, 2019",2225.39,2222.71,2247.13,2221.38,167K,0.64%
"Apr 29, 2019",2233.59,2232.79,2254.64,2228.31,186K,0.37%
"Apr 30, 2019",2206.81,2207.09,2221.76,2203.77,213K,-1.21%
"May 01, 2019",2234.63,2237.14,2237.24,2229.39,276K,1.25%
"May 02, 2019",2239.19,2240.57,2256.52,2233.35,357K,0.2%
"May 03, 2019",2217.34,2216.69,2226.26,2204.54,276K,-0.98%
"May 06, 2019",2174.07,2178.2,2183.84,2156.48,477K,-1.97%
"May 07, 2019",2190.16,2186.73,2195.48,2186.21,94K,0.74%
"May 08, 2019",2251.58,2248.94,2264.44,2243.7,409K,2.77%
"May 09, 2019",2228.13,2226.72,2245.29,2211.5,200K,-1.05%
"May 10, 2019",2233.88,2231.45,2241.6,2218.39,219K,0.26%
"May 13, 2019",2262.91,2264.05,2284.3,2254.26,368K,1.29%
"May 14, 2019",2233.09,2228.98,2239.24,2220.36,468K,-1.33%
"May 15, 2019",2222.89,2220.02,2226.44,2202.29,372K,-0.46%
"May 16, 2019",2203.5,2201.68,2218.48,2184.27,399K,-0.88%
"May 17, 2019",2229.05,2230.69,2248.32,2221.72,387K,1.15%
"May 20, 2019",2263.38,2266.78,2285.06,2247.44,194K,1.53%
"May 21, 2019",2268.93,2271.64,2286.86,2256.6,390K,0.24%
"May 22, 2019",2249.59,2246.73,2255.88,2242.62,403K,-0.86%
"May 23, 2019",2240.23,2240.81,2262.18,2232.97,290K,-0.42%
"May 24, 2019",2226.3,2222.12,2246.95,2207.39,291K,-0.62%
"May 27, 2019",2204.04,2202.37,2209.48,2183.95,391K,-1.0%
"May 28, 2019",2203.11,2205.81,2216.39,2192.8,417K,-0.04%
"May 29, 2019",2218.64,2218.25,2231.95,2211.26,201K,0.7%
"May 30, 2019",2232.2,2229.07,2243.32,2212.87,410K,0.61%
"May 31, 2019",2233.56,2233.01,2255.58,2218.7,416K,0.06%
"Jun 03, 2019",2236.52,2233.82,2239.96,2231.68,155K,0.13%
"Jun 04, 2019",2236.08,2235.13,2250.94,2232.72,372K,-0.02%
"Jun 05, 2019",2205.95,2205.84,2212.23,2192.9,133K,-1.36%
"Jun 06, 2019",2211.38,2210.05,2224.09,2190.85,91K,0.25%
"Jun 07, 2019",2198.77,2202.61,2216.4,2181.88,308K,-0.57%
"Jun 10, 2019",2167.94,2168.48,2174.92,2150.81,458K,-1.41%
"Jun 11, 2019",2178.32,2181.31,2188.21,2161.22,65K,0.48%
"Jun 12, 2019",2165.23,2167.49,2185.92,2153.2,421K,-0.6%
"Jun 13, 2019",2172.18,2173.58,2189.24,2161.86,277K,0.32%
"Jun 14, 2019",2194.06,2194.04,2207.57,2174.54,437K,1.0%
"Jun 17, 2019",2172.77,2168.44,2179.28,2168.43,429K,-0.98%
"Jun 18, 2019",2176.5,2177.48,2187.0,2166.87,443K,0.17%
"Jun 19, 2019",2135.07,2133.84,2152.08,2125.2,395K,-1.92%
"Jun 20, 2019",2172.89,2169.57,2191.11,2170.47,429K,1.76%
"Jun 21, 2019",2142.15,2141.67,2149.01,2132.84,129K,-1.42%
"Jun 24, 2019",2131.54,2133.55,2146.38,2128.05,186K,-0.5%
"Jun 25, 2019",2164.67,2168.67,2168.69,2148.6,159K,1.54%
"Jun 26, 2019",2160.61,2159.52,2163.22,2143.67,384K,-0.19%
"Jun 27, 2019",2133.83,2134.19,2146.5,2122.41,119K,-1.25%
"Jun 28, 2019",2152.14,2155.16,2158.64,2140.47,132K,0.85%
"Jul 01, 2019",2170.06,2168.62,2173.78,2152.79,445K,0.83%
"Jul 02, 2019",2156.51,2153.43,2172.83,2148.53,367K,-0.63%
"Jul 03, 2019",2145.6,2143.73,2157.36,2124.71,443K,-0.51%
"Jul 04, 2019",2136.84,2140.25,2154.29,2128.75,112K,-0.41%
"Jul 05, 2019",2133.47,2130.57,2148.35,2120.92,229K,-0.16%
"Jul 08, 2019",2090.97,2089.54,2106.8,2083.03,177K,-2.01%
"Jul 09, 2019",2088.26,2087.97,2096.13,2076.35,54K,-0.13%
"Jul 10, 2019",2131.14,2134.1,2138.32,2128.57,178K,2.03%
"Jul 11, 2019",2111.71,2115.41,2125.25,2096.96,220K,-0.92%
"Jul 12, 2019",2099.67,2099.05,2105.55,2097.24,91K,-0.57%
"Jul 15, 2019",2073.96,2077.55,2091.26,2054.44,304K,-1.23%
"Jul 16, 2019",2089.44,2086.61,2101.36,2081.4,222K,0.74%
"Jul 17, 2019",2118.76,2115.85,2125.21,2106.23,70K,1.39%
"Jul 18, 2019",2147.95,2151.81,2162.18,2142.36,366K,1.37%
"Jul 19, 2019",2120.15,2120.23,2140.3,2114.01,378K,-1.3%
"Jul 22, 2019",2133.33,2130.65,2137.04,2127.36,425K,0.62%
"Jul 23, 2019",2168.76,2168.65,2173.06,2148.92,268K,1.65%
"Jul 24, 2019",2182.48,2184.95,2201.24,2176.81,485K,0.63%
"Jul 25, 2019",2195.53,2198.4,2199.89,2177.81,461K,0.6%
"Jul 26, 2019",2185.7,2188.88,2188.66,2164.35,298K,-0.45%
"Jul 29, 2019",2192.53,2193.14,2201.59,2174.9,250K,0.31%
"Jul 30, 2019",2224.11,2227.37,2235.68,2211.46,51K,1.43%
"Jul 31, 2019",2233.72,2233.81,2247.4,2226.3,369K,0.43%
"Aug 01, 2019",2204.8,2205.74,2217.07,2187.09,304K,-1.3%
"Aug 02, 2019",2195.3,2197.57,2215.54,2175.58,471K,-0.43%
"Aug 05, 2019",2226.26,2225.59,2243.88,2216.94,317K,1.4%
"Aug 06, 2019",2235.79,2231.97,2257.82,2233.23,496K,0.43%
"Aug 07, 2019",2240.29,2238.94,2252.13,2230.0,434K,0.2%
