Date,Price,Open,High,Low,Vol.,Change %
"Jan 01, 2019",194.66,194.67,196.09,194.07,414K,-0.18%
"Jan 02, 2019",194.36,194.44,194.76,193.05,326K,-0.15%
"Jan 03, 2019",195.92,195.54,196.71,195.14,445K,0.8%
"Jan 04, 2019",195.33,195.25,196.89,194.35,78K,-0.3%
"Jan 07, 2019",198.9,198.75,200.59,198.38,457K,1.81%
"Jan 08, 2019",198.0,198.29,198.81,197.5,80K,-0.46%
"Jan 09, 2019",198.06,198.28,198.63,196.2,179K,0.03%
"Jan 10, 2019",194.52,194.46,196.39,193.09,120K,-1.81%
"Jan 11, 2019",194.06,194.16,195.58,193.64,115K,-0.24%
"Jan 14, 2019",191.67,191.32,193.25,190.45,127K,-1.24%
"Jan 15, 2019",192.66,192.77,193.24,191.63,266K,0.52%
"Jan 16, 2019",188.67,188.37,189.58,187.1,402K,-2.09%
"Jan 17, 2019",191.23,191.39,191.53,190.26,454K,1.34%
"Jan 18, 2019",189.2,189.26,189.58,187.76,305K,-1.06%
"Jan 21, 2019",193.78,193.63,194.36,193.29,120K,2.39%
"Jan 22, 2019",197.4,197.3,198.14,195.78,85K,1.85%
"Jan 23, 2019",198.92,198.59,200.9,197.58,272K,0.77%
"Jan 24, 2019",195.12,194.98,196.06,193.34,394K,-1.93%
"Jan 25, 2019",193.67,194.03,195.08,192.76,329K,-0.75%
"Jan 28, 2019",191.56,191.55,193.31,191.27,312K,-1.1%
"Jan 29, 2019",189.78,189.76,190.39,188.18,71K,-0.93%
"Jan 30, 2019",193.85,193.95,194.29,191.94,235K,2.12%
"Jan 31, 2019",193.6,193.59,194.22,192.4,297K,-0.13%
"Feb 01, 2019",192.08,191.97,193.8,191.46,319K,-0.79%
"Feb 04, 2019",190.36,190.08,191.69,190.13,52K,-0.9%
"Feb 05, 2019",189.18,189.28,190.14,187.38,139K,-0.62%
"Feb 06, 2019",190.63,190.82,192.23,190.07,477K,0.76%
"Feb 07, 2019",186.77,187.08,187.35,185.52,278K,-2.05%
"Feb 08, 2019",187.14,186.77,187.73,185.53,366K,0.2%
"Feb 11, 2019",188.3,187.98,189.45,186.75,188K,0.62%
"Feb 12, 2019",184.23,184.53,185.73,183.92,313K,-2.19%
"Feb 13, 2019",180.99,181.09,181.6,180.5,210K,-1.77%
"Feb 14, 2019",181.01,181.34,181.53,179.71,183K,0.01%
"Feb 15, 2019",184.56,184.51,185.53,184.28,235K,1.94%
"Feb 18, 2019",187.6,187.54,188.01,185.9,256K,1.63%
"Feb 19, 2019",186.25,186.14,187.69,184.93,199K,-0.72%
"Feb 20, 2019",189.83,189.56,191.0,189.05,166K,1.9%
"Feb 21, 2019",189.17,189.08,190.24,188.98,330K,-0.35%
"Feb 22, 2019",188.5,188.13,190.17,187.41,221K,-0.36%
"Feb 25, 2019",188.86,188.87,190.3,188.35,140K,0.19%
"Feb 26, 2019",191.07,191.33,191.52,190.73,391K,1.16%
"Feb 27, 2019",189.7,189.56,190.6,187.81,375K,-0.72%
"Feb 28, 2019",188.85,188.54,189.58,187.45,449K,-0.45%
"Mar 01, 2019",185.94,186.29,187.47,184.25,299K,-1.55%
"Mar 04, 2019",186.92,186.64,188.32,186.36,175K,0.53%
"Mar 05, 2019",189.33,189.36,190.33,188.41,438K,1.28%
"Mar 06, 2019",191.93,192.17,193.55,190.18,176K,1.36%
"Mar 07, 2019",188.69,188.5,189.57,187.51,345K,-1.71%
"Mar 08, 2019",187.88,188.14,189.43,186.87,135K,-0.43%
"Mar 11, 2019",191.08,191.12,191.33,190.37,333K,1.69%
"Mar 12, 2019",191.79,191.66,192.22,191.22,428K,0.37%
"Mar 13, 2019",192.01,192.29,193.51,190.24,292K,0.11%
"Mar 14, 2019",192.17,192.27,192.56,191.09,261K,0.08%
"Mar 15, 2019",193.67,193.75,195.05,192.01,497K,0.77%
"Mar 18, 2019",194.52,194.53,195.98,193.9,60K,0.44%
"Mar 19, 2019",193.21,193.03,194.55,192.42,199K,-0.68%
"Mar 20, 2019",195.57,195.42,197.21,194.89,463K,1.22%
"Mar 21, 2019",192.67,192.35,193.75,190.87,339K,-1.49%
"Mar 22, 2019",196.15,195.95,197.93,195.09,293K,1.79%
"Mar 25, 2019",194.01,193.84,195.2,193.54,336K,-1.09%
"Mar 26, 2019",195.54,195.19,196.63,194.84,194K,0.78%
"Mar 27, 2019",195.25,194.95,196.35,194.82,82K,-0.14%
"Mar 28, 2019",194.19,194.01,195.97,192.6,173K,-0.55%
"Mar 29, 2019",197.78,197.92,198.41,196.31,201K,1.83%
"Apr 01, 2019",199.84,199.59,201.29,198.64,265K,1.04%
"Apr 02, 2019",199.83,199.84,200.46,198.77,227K,-0.01%
"Apr 03, 2019",204.56,204.56,204.93,202.97,284K,2.34%
"Apr 04, 2019",207.32,207.6,209.31,205.96,138K,1.34%
"Apr 05, 2019",205.31,205.4,205.75,204.52,132K,-0.98%
"Apr 08, 2019",199.5,199.83,200.93,198.66,208K,-2.87%
"Apr 09, 2019",199.92,200.02,200.88,198.12,263K,0.21%
"Apr 10, 2019",203.69,203.3,205.43,203.46,203K,1.87%
"Apr 11, 2019",205.46,205.36,207.09,204.44,309K,0.86%
