Date,Price,Open,High,Low,Vol.,Change %
"Jan 01, 2019",11401.25,11408.32,11467.35,11316.86,447K,-0.86%
"Jan 02, 2019",11474.57,11484.89,11523.6,11444.79,110K,0.64%
"Jan 03, 2019",11533.66,11518.13,11576.84,11521.84,247K,0.51%
"Jan 04, 2019",11664.89,11667.21,11723.12,11602.81,58K,1.13%
"Jan 07, 2019",11741.38,11754.48,11841.52,11636.91,226K,0.65%
"Jan 08, 2019",11735.01,11751.8,11821.99,11701.68,86K,-0.05%
"Jan 09, 2019",11882.77,11905.38,11903.35,11776.76,346K,1.25%
"Jan 10, 2019",12014.28,12026.13,12109.17,11920.77,352K,1.1%
"Jan 11, 2019",12033.09,12036.63,12145.64,12015.95,102K,0.16%
"Jan 14, 2019",12077.65,12092.84,12193.89,11980.22,410K,0.37%
"Jan 15, 2019",11926.23,11914.68,11981.77,11868.04,149K,-1.26%
"Jan 16, 2019",11959.95,11977.79,12070.61,11937.76,184K,0.28%
"Jan 17, 2019",11975.86,11989.34,12005.9,11932.8,100K,0.13%
"Jan 18, 2019",11975.28,11959.32,12030.31,11938.61,425K,-0.0%
"Jan 21, 2019",12026.17,12043.07,12093.04,11932.93,274K,0.42%
"Jan 22, 2019",11943.52,11959.33,11975.11,11914.11,434K,-0.69%
"Jan 23, 2019",12172.99,12193.69,12260.59,12084.59,241K,1.9%
"Jan 24, 2019",12252.93,12272.58,12310.55,12186.45,226K,0.65%
"Jan 25, 2019",12328.86,12320.4,12355.41,12258.6,256K,0.62%
"Jan 28, 2019",12405.12,12405.69,12476.36,12335.69,268K,0.62%
"Jan 29, 2019",12510.29,12525.59,12555.09,12476.63,222K,0.84%
"Jan 30, 2019",12529.47,12542.98,12648.12,12451.62,257K,0.15%
"Jan 31, 2019",12478.31,12493.64,12583.51,12447.29,266K,-0.41%
"Feb 01, 2019",12330.28,12317.1,12433.38,12308.22,495K,-1.19%
"Feb 04, 2019",12442.27,12456.88,12526.68,12415.23,333K,0.9%
"Feb 05, 2019",12505.54,12485.61,12528.94,12483.58,435K,0.51%
"Feb 06, 2019",12389.15,12388.35,12451.23,12288.06,269K,-0.94%
"Feb 07, 2019",12267.29,12245.5,12351.11,12229.43,313K,-0.99%
"Feb 08, 2019",12096.64,12094.37,12130.35,12024.32,65K,-1.4%
"Feb 11, 2019",12073.8,12061.5,12129.59,12040.59,178K,-0.19%
"Feb 12, 2019",12192.3,12193.23,12257.35,12113.09,410K,0.98%
"Feb 13, 2019",12055.75,12066.02,12158.31,12000.33,201K,-1.13%
"Feb 14, 2019",12069.62,12046.98,12123.03,11961.28,376K,0.12%
"Feb 15, 2019",11930.06,11918.77,11979.5,11865.84,63K,-1.16%
"Feb 18, 2019",11798.07,11781.54,11886.94,11710.04,301K,-1.11%
"Feb 19, 2019",11739.4,11724.54,11787.11,11673.24,494K,-0.5%
"Feb 20, 2019",11916.47,11920.37,11938.98,11881.72,371K,1.5%
"Feb 21, 2019",11846.19,11825.53,11941.84,11758.12,364K,-0.59%
"Feb 22, 2019",11719.85,11729.51,11770.54,11687.2,267K,-1.07%
"Feb 25, 2019",11674.73,11662.26,11790.08,11643.27,177K,-0.39%
"Feb 26, 2019",11631.22,11652.62,11695.91,11605.04,236K,-0.37%
"Feb 27, 2019",11613.84,11634.03,11632.17,11506.88,281K,-0.15%
"Feb 28, 2019",11557.71,11568.43,11648.64,11442.62,371K,-0.48%
"Mar 01, 2019",11511.27,11524.51,11561.91,11462.11,123K,-0.4%
"Mar 04, 2019",11553.96,11564.08,11578.3,11443.88,216K,0.37%
"Mar 05, 2019",11556.82,11567.28,11626.31,11484.2,435K,0.02%
"Mar 06, 2019",11470.35,11455.67,11507.51,11448.83,54K,-0.75%
"Mar 07, 2019",11529.11,11548.77,11638.1,11440.6,419K,0.51%
"Mar 08, 2019",11740.73,11754.89,11826.53,11651.56,74K,1.82%
"Mar 11, 2019",11785.44,11788.87,11841.23,11729.45,399K,0.38%
"Mar 12, 2019",11903.03,11887.14,11997.43,11889.54,495K,0.99%
"Mar 13, 2019",11856.92,11870.01,11918.3,11749.42,385K,-0.39%
"Mar 14, 2019",11870.45,11889.85,11980.67,11854.43,290K,0.11%
"Mar 15, 2019",11771.21,11769.89,11858.41,11721.15,109K,-0.84%
"Mar 18, 2019",11553.88,11534.74,11667.21,11517.21,75K,-1.86%
"Mar 19, 2019",11492.35,11513.84,11538.93,11395.83,231K,-0.53%
"Mar 20, 2019",11458.31,11443.23,11555.25,11405.52,235K,-0.3%
"Mar 21, 2019",11358.58,11371.95,11398.74,11260.84,155K,-0.87%
"Mar 22, 2019",11344.34,11366.31,11390.31,11280.46,230K,-0.13%
"Mar 25, 2019",11238.42,11229.06,11274.14,11169.16,180K,-0.94%
"Mar 26, 2019",11414.65,11396.36,11512.1,11377.74,75K,1.56%
"Mar 27, 2019",11304.65,11318.71,11407.57,11229.11,251K,-0.97%
"Mar 28, 2019",11232.94,11213.59,11264.05,11128.16,267K,-0.64%
"Mar 29, 2019",11181.41,11182.67,11279.66,11164.63,365K,-0.46%
"Apr 01, 2019",11270.25,11280.64,11379.37,11172.25,297K,0.79%
"Apr 02, 2019",11338.79,11345.18,11404.35,11264.51,456K,0.61%
"Apr 03, 2019",11347.44,11350.42,11383.56,11287.1,207K,0.08%
"Apr 04, 2019",11293.91,11282.63,11399.86,11271.19,149K,-0.47%
"Apr 05, 2019",11056.52,11048.39,11159.52,10955.53,80K,-2.12%
"Apr 08, 2019",10984.75,10978.53,11008.74,10941.8,224K,-0.65%
"Apr 09, 2019",10993.47,11000.31,11099.3,10926.14,73K,0.08%
"Apr 10, 2019",10962.82,10970.71,11003.73,10930.89,267K,-0.28%
"Apr 11, 2019",11065.18,11050.8,11120.28,11041.25,452K,0.93%
