Date,Price,Open,High,Low,Vol.,Change %
"Jan 01, 2019",166.01,166.14,166.47,165.43,461K,0.61%
"Jan 02, 2019",168.13,167.87,168.88,167.8,289K,1.27%
"Jan 03, 2019",169.44,169.44,170.83,168.55,287K,0.77%
"Jan 04, 2019",172.72,172.46,173.67,171.15,457K,1.92%
"Jan 07, 2019",177.12,177.17,177.59,175.57,294K,2.51%
"Jan 08, 2019",179.37,179.41,180.94,179.12,418K,1.26%
"Jan 09, 2019",179.34,179.03,180.57,178.1,423K,-0.02%
"Jan 10, 2019",182.63,182.37,183.79,181.44,193K,1.82%
"Jan 11, 2019",181.0,181.15,182.76,180.78,498K,-0.9%
"Jan 14, 2019",178.38,178.5,180.05,177.36,427K,-1.46%
"Jan 15, 2019",175.79,175.64,176.19,174.05,380K,-1.47%
"Jan 16, 2019",175.32,175.1,176.66,174.43,223K,-0.27%
"Jan 17, 2019",172.99,173.11,174.57,172.4,124K,-1.34%
"Jan 18, 2019",173.85,173.87,175.37,172.96,203K,0.49%
"Jan 21, 2019",175.4,175.23,176.98,174.67,90K,0.89%
"Jan 22, 2019",179.75,180.1,181.24,178.79,439K,2.45%
"Jan 23, 2019",179.05,178.97,180.83,177.63,394K,-0.39%
"Jan 24, 2019",181.83,181.97,182.46,180.16,158K,1.54%
"Jan 25, 2019",182.57,182.85,183.02,180.77,141K,0.41%
"Jan 28, 2019",184.37,184.7,184.68,183.66,162K,0.98%
"Jan 29, 2019",189.0,189.3,190.59,187.77,237K,2.48%
"Jan 30, 2019",191.15,191.22,192.12,190.12,269K,1.13%
"Jan 31, 2019",189.39,189.17,190.02,187.7,87K,-0.92%
"Feb 01, 2019",186.79,187.11,188.11,185.85,84K,-1.39%
"Feb 04, 2019",183.4,183.75,183.58,181.97,207K,-1.83%
"Feb 05, 2019",179.35,179.0,179.85,178.88,333K,-2.23%
"Feb 06, 2019",178.45,178.74,179.24,177.63,357K,-0.5%
"Feb 07, 2019",179.05,179.33,179.57,177.36,355K,0.34%
"Feb 08, 2019",179.22,179.19,179.95,177.78,284K,0.1%
"Feb 11, 2019",177.9,178.11,178.34,176.5,480K,-0.74%
"Feb 12, 2019",173.74,174.06,173.92,173.26,390K,-2.36%
"Feb 13, 2019",176.81,176.68,177.78,175.82,269K,1.75%
"Feb 14, 2019",175.32,175.3,175.61,174.58,259K,-0.85%
"Feb 15, 2019",176.62,176.36,177.94,175.62,293K,0.74%
"Feb 18, 2019",174.38,174.23,174.65,173.27,203K,-1.27%
"Feb 19, 2019",170.85,171.11,172.2,170.41,454K,-2.05%
"Feb 20, 2019",169.92,169.7,170.18,169.48,283K,-0.55%
