Date,Price,Open,High,Low,Vol.,Change %
"Jan 01, 2019",454.76,454.89,457.58,451.06,299K,1.05%
"Jan 02, 2019",445.73,446.15,446.45,442.28,405K,-2.01%
"Jan 03, 2019",443.2,443.59,444.09,442.36,92K,-0.57%
"Jan 04, 2019",452.73,452.34,456.08,448.25,140K,2.13%
"Jan 07, 2019",459.16,458.89,462.64,458.32,365K,1.41%
"Jan 08, 2019",461.54,462.31,463.1,457.08,52K,0.52%
"Jan 09, 2019",459.33,459.97,460.55,455.13,52K,-0.48%
"Jan 10, 2019",453.57,453.13,454.25,452.56,221K,-1.26%
"Jan 11, 2019",450.45,450.6,452.6,446.95,440K,-0.69%
"Jan 14, 2019",454.71,454.0,457.25,451.08,491K,0.94%
"Jan 15, 2019",442.48,442.76,446.51,441.42,342K,-2.73%
"Jan 16, 2019",453.97,454.19,454.44,451.65,477K,2.56%
"Jan 17, 2019",462.14,461.71,464.3,458.98,431K,1.78%
"Jan 18, 2019",470.31,470.17,472.56,468.63,140K,1.75%
"Jan 21, 2019",474.62,475.15,478.88,473.33,231K,0.91%
"Jan 22, 2019",475.57,475.11,476.89,474.51,330K,0.2%
"Jan 23, 2019",478.33,478.85,479.1,474.06,118K,0.58%
"Jan 24, 2019",476.13,475.78,478.24,473.86,190K,-0.46%
"Jan 25, 2019",490.7,491.37,493.89,488.79,390K,3.01%
"Jan 28, 2019",489.99,489.07,494.27,485.61,205K,-0.14%
"Jan 29, 2019",486.98,486.51,488.65,484.79,466K,-0.62%
"Jan 30, 2019",485.42,484.79,487.0,480.71,233K,-0.32%
"Jan 31, 2019",480.77,481.52,482.66,477.44,148K,-0.96%
"Feb 01, 2019",486.49,486.35,487.49,482.38,144K,1.18%
"Feb 04, 2019",483.21,483.3,487.94,480.82,359K,-0.68%
"Feb 05, 2019",482.6,482.1,485.43,478.6,215K,-0.13%
"Feb 06, 2019",491.96,491.23,493.66,490.53,156K,1.92%
"Feb 07, 2019",499.64,499.84,501.77,495.19,362K,1.55%
"Feb 08, 2019",492.78,492.35,497.11,491.21,239K,-1.38%
"Feb 11, 2019",501.24,502.1,504.78,496.67,430K,1.7%
"Feb 12, 2019",491.64,491.6,494.58,488.69,297K,-1.93%
"Feb 13, 2019",481.66,480.96,485.28,479.87,487K,-2.05%
"Feb 14, 2019",479.7,478.79,483.45,475.6,218K,-0.41%
"Feb 15, 2019",481.92,481.4,483.24,480.36,176K,0.46%
"Feb 18, 2019",480.64,480.3,481.81,479.96,340K,-0.26%
"Feb 19, 2019",483.85,483.28,488.54,480.63,368K,0.66%
"Feb 20, 2019",481.54,481.28,482.83,476.73,57K,-0.48%
"Feb 21, 2019",468.09,468.8,470.52,465.42,351K,-2.83%
"Feb 22, 2019",467.08,466.23,471.68,466.2,131K,-0.22%
"Feb 25, 2019",457.47,458.02,459.64,455.63,481K,-2.08%
"Feb 26, 2019",457.72,457.58,460.3,456.04,309K,0.05%
"Feb 27, 2019",449.98,450.72,453.67,448.69,106K,-1.7%
"Feb 28, 2019",453.48,453.78,455.32,452.65,73K,0.77%
"Mar 01, 2019",462.39,461.78,464.65,458.29,445K,1.95%
"Mar 04, 2019",451.56,452.39,453.36,449.44,432K,-2.37%
"Mar 05, 2019",439.06,438.45,440.63,438.18,245K,-2.81%
"Mar 06, 2019",437.43,437.15,439.73,436.11,89K,-0.37%
"Mar 07, 2019",444.63,445.48,448.05,441.18,225K,1.63%
"Mar 08, 2019",445.82,445.31,449.75,444.87,392K,0.27%
"Mar 11, 2019",443.39,443.62,445.71,440.13,347K,-0.55%
"Mar 12, 2019",436.98,437.81,438.68,434.22,439K,-1.46%
"Mar 13, 2019",441.65,441.98,445.71,437.97,388K,1.06%
"Mar 14, 2019",451.48,451.78,453.3,450.56,198K,2.2%
"Mar 15, 2019",440.04,440.25,443.55,436.01,203K,-2.57%
"Mar 18, 2019",442.07,442.17,445.49,441.61,341K,0.46%
"Mar 19, 2019",458.34,459.16,459.0,455.11,189K,3.61%
"Mar 20, 2019",454.69,454.77,455.88,453.06,440K,-0.8%
"Mar 21, 2019",453.71,454.0,456.5,449.7,197K,-0.22%
